date,shift,truck_id,trips,avg_cycle_time_min,payload_t
2024-01-01,夜班,TR-07,9.6,46.0,33.0
2024-01-01,夜班,TR-08,9.3,48.6,30.5
2024-01-01,夜班,TR-09,11.0,48.5,29.8
2024-01-01,夜班,TR-11,9.9,51.3,27.2
2024-01-01,夜班,TR-12,8.7,51.4,29.5
2024-01-01,夜班,TR-13,10.1,46.2,33.1
2024-01-01,夜班,TR-14,9.3,46.8,31.2
2024-01-01,夜班,TR-15,13.0,33.8,28.7
2024-01-01,夜班,TR-17,8.5,52.9,32.2
2024-01-01,夜班,TR-18,8.7,52.3,26.4
2024-01-02,早班,TR-01,11.1,42.0,31.1
2024-01-02,早班,TR-02,8.7,53.8,26.6
2024-01-02,早班,TR-03,10.3,39.6,28.7
2024-01-02,早班,TR-05,10.4,43.2,27.4
2024-01-02,早班,TR-06,12.7,36.3,28.9
2024-01-02,早班,TR-07,10.4,41.6,30.4
2024-01-02,早班,TR-08,6.6,67.8,30.3
2024-01-02,早班,TR-09,11.3,42.1,26.8
2024-01-02,早班,TR-10,13.6,37.0,30.0
2024-01-02,早班,TR-11,9.9,46.0,32.6
2024-01-02,早班,TR-12,7.3,65.8,27.0
2024-01-02,早班,TR-13,12.5,38.8,31.9
2024-01-02,早班,TR-14,9.1,52.4,32.9
2024-01-02,早班,TR-15,10.5,42.6,29.4
2024-01-02,早班,TR-16,9.4,53.9,30.8
2024-01-02,早班,TR-18,10.2,47.7,30.5
2024-01-02,早班,TR-19,10.4,47.1,28.5
2024-01-02,早班,TR-20,10.4,44.5,33.0
2024-01-02,中班,TR-01,12.1,38.1,28.5
2024-01-02,中班,TR-02,11.3,38.3,31.8
2024-01-02,中班,TR-03,8.8,52.3,30.0
2024-01-02,中班,TR-05,9.1,46.9,30.0
2024-01-02,中班,TR-06,11.2,43.3,26.3
2024-01-02,中班,TR-07,10.5,45.0,30.9
2024-01-02,中班,TR-10,14.3,34.7,32.9
2024-01-02,中班,TR-11,10.5,53.0,29.4
2024-01-02,中班,TR-12,7.9,57.4,30.3
2024-01-02,中班,TR-13,10.2,46.5,28.4
2024-01-02,中班,TR-15,13.1,35.1,31.0
2024-01-02,中班,TR-16,10.0,48.1,31.3
2024-01-02,中班,TR-17,9.1,57.8,26.6
2024-01-02,中班,TR-18,11.1,44.8,31.9
2024-01-02,中班,TR-19,10.3,51.3,25.4
2024-01-02,中班,TR-20,10.1,52.2,31.9
2024-01-02,夜班,TR-01,10.3,49.8,30.5
2024-01-02,夜班,TR-03,10.5,46.9,31.2
2024-01-02,夜班,TR-04,6.7,69.9,28.2
2024-01-02,夜班,TR-05,7.4,58.7,30.3
2024-01-02,夜班,TR-06,12.1,39.3,31.0
2024-01-02,夜班,TR-07,11.3,37.4,31.6
2024-01-02,夜班,TR-08,9.1,47.8,29.0
2024-01-02,夜班,TR-10,12.6,35.1,33.0
2024-01-02,夜班,TR-11,11.4,47.2,33.6
2024-01-02,夜班,TR-14,8.9,50.9,31.2
2024-01-02,夜班,TR-16,11.4,41.9,30.6
2024-01-02,夜班,TR-17,8.4,53.9,26.7
2024-01-02,夜班,TR-20,8.6,50.5,34.2
2024-01-03,早班,TR-01,13.0,36.8,29.5
2024-01-03,早班,TR-02,10.4,41.2,29.7
2024-01-03,早班,TR-03,10.0,54.0,30.0
2024-01-03,早班,TR-04,12.2,36.2,32.0
2024-01-03,早班,TR-05,9.5,54.6,32.1
2024-01-03,早班,TR-06,11.2,39.0,30.8
2024-01-03,早班,TR-07,10.8,44.1,28.9
2024-01-03,早班,TR-08,6.6,71.0,29.1
2024-01-03,早班,TR-09,11.8,40.3,31.5
2024-01-03,早班,TR-10,12.0,39.6,29.1
2024-01-03,早班,TR-11,9.5,51.5,31.2
2024-01-03,早班,TR-12,7.9,62.5,26.9
2024-01-03,早班,TR-13,10.3,44.9,27.4
2024-01-03,早班,TR-14,9.8,44.4,29.2
2024-01-03,早班,TR-15,12.1,39.1,31.6
2024-01-03,早班,TR-16,11.5,44.9,27.9
2024-01-03,早班,TR-17,7.7,65.0,32.9
2024-01-03,早班,TR-18,14.0,35.9,30.0
2024-01-03,早班,TR-19,10.5,44.8,29.1
2024-01-03,早班,TR-20,7.8,64.8,30.3
2024-01-03,中班,TR-01,10.5,44.8,30.2
2024-01-03,中班,TR-03,13.9,32.2,30.8
2024-01-03,中班,TR-04,9.6,48.1,31.1
2024-01-03,中班,TR-05,9.6,48.0,31.9
2024-01-03,中班,TR-07,9.9,49.7,27.9
2024-01-03,中班,TR-09,13.4,30.9,27.5
2024-01-03,中班,TR-10,14.2,33.5,29.9
2024-01-03,中班,TR-11,9.3,48.1,31.3
2024-01-03,中班,TR-12,10.0,43.8,28.0
2024-01-03,中班,TR-13,10.8,42.3,30.2
2024-01-03,中班,TR-14,9.6,49.2,30.1
2024-01-03,中班,TR-15,10.9,43.2,29.8
2024-01-03,中班,TR-16,12.5,39.1,30.2
2024-01-03,中班,TR-17,5.8,83.9,27.6
2024-01-03,中班,TR-18,9.0,49.7,30.2
2024-01-03,中班,TR-19,10.4,43.0,26.9
2024-01-03,中班,TR-20,10.3,45.2,27.7
2024-01-03,夜班,TR-01,12.6,38.3,27.5
2024-01-03,夜班,TR-02,10.7,42.6,30.6
2024-01-03,夜班,TR-03,7.8,60.2,28.4
2024-01-03,夜班,TR-05,8.7,51.7,30.3
2024-01-03,夜班,TR-06,12.4,37.3,30.3
2024-01-03,夜班,TR-07,11.6,40.1,30.5
2024-01-03,夜班,TR-08,9.2,46.5,30.9
2024-01-03,夜班,TR-11,10.4,49.2,31.6
2024-01-03,夜班,TR-12,8.0,58.5,32.8
2024-01-03,夜班,TR-14,9.8,46.7,26.5
2024-01-03,夜班,TR-15,12.2,37.7,32.3
2024-01-03,夜班,TR-16,12.6,40.6,31.1
2024-01-03,夜班,TR-19,10.0,44.3,30.3
2024-01-03,夜班,TR-20,9.8,46.5,28.2
2024-01-04,早班,TR-01,11.9,40.5,31.7
2024-01-04,早班,TR-03,8.1,57.0,30.1
2024-01-04,早班,TR-04,11.6,45.1,31.6
2024-01-04,早班,TR-05,8.6,56.6,30.7
2024-01-04,早班,TR-06,12.8,32.3,31.2
2024-01-04,早班,TR-07,9.0,55.9,26.6
2024-01-04,早班,TR-08,8.6,55.3,30.3
2024-01-04,早班,TR-09,10.4,46.2,28.3
2024-01-04,早班,TR-10,12.4,38.7,30.3
2024-01-04,早班,TR-11,10.2,46.2,30.8
2024-01-04,早班,TR-12,9.5,51.2,29.6
2024-01-04,早班,TR-14,10.2,46.6,29.6
2024-01-04,早班,TR-15,12.4,36.1,26.6
2024-01-04,早班,TR-16,11.5,36.0,29.0
2024-01-04,早班,TR-17,7.1,64.5,30.9
2024-01-04,早班,TR-18,10.2,49.0,31.0
2024-01-04,中班,TR-02,11.0,40.7,31.8
2024-01-04,中班,TR-05,10.6,45.2,32.1
2024-01-04,中班,TR-06,9.8,44.0,32.7
2024-01-04,中班,TR-09,12.5,38.5,34.3
2024-01-04,中班,TR-10,13.7,34.3,31.1
2024-01-04,中班,TR-11,11.0,44.3,29.6
2024-01-04,中班,TR-12,9.0,52.3,29.4
2024-01-04,中班,TR-13,10.3,43.0,30.3
2024-01-04,中班,TR-14,9.9,51.2,29.8
2024-01-04,中班,TR-17,10.8,43.6,29.4
2024-01-04,中班,TR-18,11.4,42.9,31.3
2024-01-04,中班,TR-19,11.7,42.7,27.5
2024-01-04,中班,TR-20,9.0,51.8,30.6
2024-01-04,夜班,TR-01,11.1,45.4,33.8
2024-01-04,夜班,TR-03,10.1,43.6,29.0
2024-01-04,夜班,TR-04,10.5,40.0,28.5
2024-01-04,夜班,TR-05,8.9,53.2,29.6
2024-01-04,夜班,TR-06,12.5,33.1,29.9
2024-01-04,夜班,TR-07,10.2,48.2,29.1
2024-01-04,夜班,TR-09,10.4,43.3,27.5
2024-01-04,夜班,TR-10,11.2,40.3,33.6
2024-01-04,夜班,TR-11,10.5,45.9,33.7
2024-01-04,夜班,TR-13,11.3,42.2,31.4
2024-01-04,夜班,TR-15,13.0,35.3,32.0
2024-01-04,夜班,TR-16,11.4,38.3,31.9
2024-01-04,夜班,TR-17,11.0,45.6,33.4
2024-01-04,夜班,TR-18,10.4,49.3,30.7
2024-01-04,夜班,TR-19,8.8,51.0,31.9
2024-01-04,夜班,TR-20,10.3,47.0,30.1
2024-01-05,早班,TR-01,11.2,42.1,32.5
2024-01-05,早班,TR-04,9.9,46.7,30.1
2024-01-05,早班,TR-06,11.4,38.7,31.2
2024-01-05,早班,TR-08,10.2,46.7,30.0
2024-01-05,早班,TR-09,12.0,40.8,29.0
2024-01-05,早班,TR-10,10.6,41.8,30.1
2024-01-05,早班,TR-11,11.6,47.5,29.8
2024-01-05,早班,TR-13,10.3,46.1,29.9
2024-01-05,早班,TR-14,9.7,47.9,27.8
2024-01-05,早班,TR-15,11.6,40.6,28.8
2024-01-05,早班,TR-16,11.5,38.4,31.4
2024-01-05,早班,TR-17,7.5,59.9,33.0
2024-01-05,早班,TR-18,9.3,47.5,32.8
2024-01-05,早班,TR-19,8.8,50.2,35.9
2024-01-05,早班,TR-20,9.0,49.8,27.2
2024-01-05,中班,TR-01,11.7,37.8,33.9
2024-01-05,中班,TR-02,7.3,65.3,30.0
2024-01-05,中班,TR-04,10.9,43.2,30.7
2024-01-05,中班,TR-06,11.2,39.9,28.3
2024-01-05,中班,TR-07,10.4,45.5,28.3
2024-01-05,中班,TR-08,9.0,52.3,30.7
2024-01-05,中班,TR-09,11.9,39.9,28.4
2024-01-05,中班,TR-11,10.3,44.8,30.9
2024-01-05,中班,TR-12,8.9,53.1,28.4
2024-01-05,中班,TR-14,10.5,44.4,33.5
2024-01-05,中班,TR-15,13.2,36.7,27.2
2024-01-05,中班,TR-16,11.4,41.5,32.7
2024-01-05,中班,TR-17,7.6,58.0,28.5
2024-01-05,中班,TR-18,10.0,47.3,34.4
2024-01-05,中班,TR-19,10.8,37.6,27.6
2024-01-05,夜班,TR-02,10.8,42.7,32.6
2024-01-05,夜班,TR-04,9.8,45.3,31.6
2024-01-05,夜班,TR-05,10.2,43.1,26.3
2024-01-05,夜班,TR-06,14.2,31.5,29.4
2024-01-05,夜班,TR-07,10.7,41.4,29.1
2024-01-05,夜班,TR-08,8.9,51.0,31.6
2024-01-05,夜班,TR-10,12.6,35.7,28.3
2024-01-05,夜班,TR-11,12.8,39.5,27.9
2024-01-05,夜班,TR-12,8.5,53.5,30.7
2024-01-05,夜班,TR-14,8.8,53.5,28.8
2024-01-05,夜班,TR-15,10.8,42.6,29.1
2024-01-05,夜班,TR-16,12.4,36.2,30.8
2024-01-05,夜班,TR-17,9.0,51.9,32.0
2024-01-05,夜班,TR-19,11.3,41.0,30.0
2024-01-05,夜班,TR-20,9.5,47.7,29.7
2024-01-06,早班,TR-02,8.2,62.4,30.6
2024-01-06,早班,TR-03,11.2,42.6,30.6
2024-01-06,早班,TR-05,9.9,45.6,27.0
2024-01-06,早班,TR-07,11.2,41.0,28.6
2024-01-06,早班,TR-09,10.9,42.2,27.0
2024-01-06,早班,TR-11,10.4,44.7,28.8
2024-01-06,早班,TR-12,9.0,55.9,34.8
2024-01-06,早班,TR-14,8.6,55.4,29.2
2024-01-06,早班,TR-15,12.9,37.1,29.5
2024-01-06,早班,TR-19,10.5,45.2,29.9
2024-01-06,早班,TR-20,9.9,46.0,27.7
2024-01-06,中班,TR-01,12.6,36.8,31.2
2024-01-06,中班,TR-02,10.7,43.7,33.1
2024-01-06,中班,TR-03,8.0,58.4,31.7
2024-01-06,中班,TR-04,9.3,51.3,33.0
2024-01-06,中班,TR-05,11.3,43.5,30.3
2024-01-06,中班,TR-06,13.2,34.7,27.9
2024-01-06,中班,TR-08,7.3,68.0,29.9
2024-01-06,中班,TR-09,10.7,48.1,28.7
2024-01-06,中班,TR-10,14.6,30.0,30.0
2024-01-06,中班,TR-11,11.2,36.6,29.6
2024-01-06,中班,TR-13,11.7,43.0,27.9
2024-01-06,中班,TR-15,10.2,46.7,25.8
2024-01-06,中班,TR-16,11.8,46.4,28.0
2024-01-06,中班,TR-17,5.3,89.9,29.5
2024-01-06,中班,TR-18,10.0,47.3,26.0
2024-01-06,中班,TR-20,7.7,54.9,26.7
2024-01-06,夜班,TR-01,12.1,39.8,28.9
2024-01-06,夜班,TR-02,9.9,51.6,27.8
2024-01-06,夜班,TR-03,9.5,53.0,30.1
2024-01-06,夜班,TR-05,5.8,77.0,27.2
2024-01-06,夜班,TR-06,11.7,38.4,28.9
2024-01-06,夜班,TR-07,9.6,48.8,31.1
2024-01-06,夜班,TR-08,9.4,49.4,30.4
2024-01-06,夜班,TR-09,13.7,37.0,28.0
2024-01-06,夜班,TR-10,11.4,45.6,32.7
2024-01-06,夜班,TR-11,13.6,38.4,31.1
2024-01-06,夜班,TR-13,10.1,44.3,29.1
2024-01-06,夜班,TR-14,11.0,41.3,29.1
2024-01-06,夜班,TR-15,12.2,36.1,27.9
2024-01-06,夜班,TR-16,11.3,39.2,31.0
2024-01-06,夜班,TR-17,9.1,53.6,28.9
2024-01-06,夜班,TR-18,10.8,43.9,27.2
2024-01-06,夜班,TR-19,10.1,47.2,30.1
2024-01-06,夜班,TR-20,10.4,48.2,29.8
2024-01-07,早班,TR-01,13.0,36.0,29.3
2024-01-07,早班,TR-03,10.1,46.6,31.1
2024-01-07,早班,TR-04,8.8,55.3,32.7
2024-01-07,早班,TR-06,13.1,36.9,27.9
2024-01-07,早班,TR-07,11.0,43.8,31.1
2024-01-07,早班,TR-09,10.1,46.6,30.0
2024-01-07,早班,TR-10,12.2,41.6,28.7
2024-01-07,早班,TR-11,11.3,42.1,31.2
2024-01-07,早班,TR-13,9.8,51.3,31.7
2024-01-07,早班,TR-14,12.1,39.5,28.9
2024-01-07,早班,TR-15,10.4,43.2,28.9
2024-01-07,早班,TR-16,9.7,50.8,30.4
2024-01-07,早班,TR-17,8.5,53.9,26.7
2024-01-07,早班,TR-18,10.7,49.9,28.4
2024-01-07,早班,TR-20,10.1,49.4,28.7
2024-01-07,中班,TR-01,10.8,41.7,25.8
2024-01-07,中班,TR-02,11.0,45.0,29.8
2024-01-07,中班,TR-03,12.1,38.9,33.5
2024-01-07,中班,TR-04,10.7,43.1,25.6
2024-01-07,中班,TR-05,7.9,58.4,29.1
2024-01-07,中班,TR-06,12.7,34.9,29.9
2024-01-07,中班,TR-07,10.2,44.9,31.4
2024-01-07,中班,TR-08,7.9,66.1,32.7
2024-01-07,中班,TR-11,9.8,48.8,31.1
2024-01-07,中班,TR-12,8.1,57.7,31.3
2024-01-07,中班,TR-13,12.4,40.0,27.2
2024-01-07,中班,TR-14,10.9,48.5,27.8
2024-01-07,中班,TR-15,11.9,38.7,29.1
2024-01-07,中班,TR-16,10.9,45.1,32.5
2024-01-07,中班,TR-17,8.6,57.4,31.3
2024-01-07,中班,TR-20,10.8,39.6,26.7
2024-01-07,夜班,TR-02,8.2,57.7,29.2
2024-01-07,夜班,TR-03,11.0,42.9,25.6
2024-01-07,夜班,TR-04,11.3,41.0,29.3
2024-01-07,夜班,TR-05,9.5,51.4,29.0
2024-01-07,夜班,TR-06,11.3,39.4,29.1
2024-01-07,夜班,TR-07,7.9,57.5,30.4
2024-01-07,夜班,TR-08,11.8,36.1,32.4
2024-01-07,夜班,TR-09,11.4,42.6,30.7
2024-01-07,夜班,TR-10,11.8,39.9,29.1
2024-01-07,夜班,TR-11,10.4,40.8,27.8
2024-01-07,夜班,TR-12,8.6,56.4,32.6
2024-01-07,夜班,TR-13,10.7,46.4,35.7
2024-01-07,夜班,TR-14,9.2,51.8,30.6
2024-01-07,夜班,TR-15,8.9,50.0,27.3
2024-01-07,夜班,TR-16,11.5,42.9,28.3
2024-01-07,夜班,TR-17,10.4,44.3,31.5
2024-01-07,夜班,TR-18,10.1,44.8,27.2
2024-01-07,夜班,TR-19,9.7,47.6,28.6
2024-01-07,夜班,TR-20,8.0,58.0,30.8
2024-01-08,早班,TR-01,12.2,39.7,30.5
2024-01-08,早班,TR-02,9.8,53.2,30.2
2024-01-08,早班,TR-03,9.8,44.8,27.2
2024-01-08,早班,TR-04,10.3,43.9,27.8
2024-01-08,早班,TR-06,12.9,36.2,31.5
2024-01-08,早班,TR-07,11.8,43.2,31.9
2024-01-08,早班,TR-09,8.7,51.5,32.7
2024-01-08,早班,TR-10,12.3,37.5,31.3
2024-01-08,早班,TR-11,10.4,46.7,31.0
2024-01-08,早班,TR-12,9.0,47.9,27.8
2024-01-08,早班,TR-13,10.4,44.1,28.1
2024-01-08,早班,TR-14,10.3,48.1,27.7
2024-01-08,早班,TR-16,8.4,54.2,30.4
2024-01-08,早班,TR-17,8.5,53.0,32.7
2024-01-08,早班,TR-20,11.0,40.2,25.4
2024-01-08,中班,TR-01,12.1,46.2,31.1
2024-01-08,中班,TR-02,8.5,56.5,30.6
2024-01-08,中班,TR-03,11.4,42.5,28.7
2024-01-08,中班,TR-04,9.0,51.7,28.7
2024-01-08,中班,TR-05,7.5,67.1,30.9
2024-01-08,中班,TR-06,11.5,41.1,28.6
2024-01-08,中班,TR-08,9.7,49.3,29.1
2024-01-08,中班,TR-09,11.7,43.2,30.5
2024-01-08,中班,TR-10,11.9,42.7,30.8
2024-01-08,中班,TR-11,11.7,38.8,29.7
2024-01-08,中班,TR-12,9.6,46.2,27.5
2024-01-08,中班,TR-14,9.7,48.0,28.8
2024-01-08,中班,TR-16,12.8,36.0,28.8
2024-01-08,中班,TR-17,7.7,55.9,29.7
2024-01-08,中班,TR-19,8.5,53.4,30.1
2024-01-08,中班,TR-20,10.7,43.8,30.0
2024-01-08,夜班,TR-02,9.6,46.3,27.4
2024-01-08,夜班,TR-03,11.1,39.9,30.7
2024-01-08,夜班,TR-05,10.0,44.3,24.4
2024-01-08,夜班,TR-06,11.2,40.7,29.3
2024-01-08,夜班,TR-07,10.7,38.5,32.2
2024-01-08,夜班,TR-08,9.3,48.1,27.2
2024-01-08,夜班,TR-09,10.8,45.2,29.4
2024-01-08,夜班,TR-10,11.9,41.9,32.9
2024-01-08,夜班,TR-11,8.8,56.6,27.5
2024-01-08,夜班,TR-12,8.0,66.3,30.0
2024-01-08,夜班,TR-13,13.4,33.6,26.7
2024-01-08,夜班,TR-14,8.3,57.8,31.3
2024-01-08,夜班,TR-15,11.0,38.6,31.4
2024-01-08,夜班,TR-17,8.1,57.0,31.4
2024-01-08,夜班,TR-18,10.3,44.0,27.8
2024-01-08,夜班,TR-19,10.5,45.9,29.4
2024-01-08,夜班,TR-20,9.5,51.9,29.3
2024-01-09,早班,TR-01,13.4,36.5,26.1
2024-01-09,早班,TR-04,10.6,45.1,29.2
2024-01-09,早班,TR-05,9.7,51.2,32.2
2024-01-09,早班,TR-06,9.9,47.6,32.8
2024-01-09,早班,TR-07,12.4,38.9,29.2
2024-01-09,早班,TR-08,7.6,59.5,29.5
2024-01-09,早班,TR-09,8.4,55.8,31.3
2024-01-09,早班,TR-10,11.0,42.4,28.5
2024-01-09,早班,TR-12,7.6,65.2,27.9
2024-01-09,早班,TR-13,12.2,33.9,34.3
2024-01-09,早班,TR-14,8.9,54.9,26.8
2024-01-09,早班,TR-15,13.1,39.5,30.2
2024-01-09,早班,TR-16,9.4,43.5,32.9
2024-01-09,早班,TR-17,10.6,40.8,31.6
2024-01-09,早班,TR-18,11.5,39.9,29.9
2024-01-09,早班,TR-19,10.4,46.8,26.5
2024-01-09,早班,TR-20,9.2,49.8,32.5
2024-01-09,中班,TR-01,12.5,41.4,28.7
2024-01-09,中班,TR-02,9.7,45.4,29.6
2024-01-09,中班,TR-03,9.3,48.7,27.6
2024-01-09,中班,TR-04,11.1,41.0,29.2
2024-01-09,中班,TR-05,8.0,61.6,27.7
2024-01-09,中班,TR-06,12.5,31.1,28.7
2024-01-09,中班,TR-07,11.5,43.5,29.5
2024-01-09,中班,TR-08,10.0,45.7,31.7
2024-01-09,中班,TR-09,11.6,44.1,28.8
2024-01-09,中班,TR-10,12.2,38.8,29.7
2024-01-09,中班,TR-11,10.9,39.0,25.2
2024-01-09,中班,TR-12,7.4,63.9,28.8
2024-01-09,中班,TR-13,11.3,39.3,32.4
2024-01-09,中班,TR-14,11.5,40.2,26.9
2024-01-09,中班,TR-15,11.4,39.4,31.1
2024-01-09,中班,TR-16,12.7,40.5,30.0
2024-01-09,中班,TR-20,10.0,46.7,28.5
2024-01-09,夜班,TR-01,10.7,44.2,30.3
2024-01-09,夜班,TR-02,9.0,50.5,30.8
2024-01-09,夜班,TR-03,10.2,43.1,34.2
2024-01-09,夜班,TR-04,9.4,47.5,33.8
2024-01-09,夜班,TR-05,8.0,61.9,30.7
2024-01-09,夜班,TR-07,10.4,46.4,27.8
2024-01-09,夜班,TR-08,10.2,45.2,33.5
2024-01-09,夜班,TR-09,10.6,38.8,27.9
2024-01-09,夜班,TR-10,11.2,39.6,30.0
2024-01-09,夜班,TR-12,8.4,55.8,27.6
2024-01-09,夜班,TR-14,9.3,49.3,29.9
2024-01-09,夜班,TR-15,11.4,38.0,32.4
2024-01-09,夜班,TR-16,11.7,39.9,30.3
2024-01-09,夜班,TR-17,9.5,49.2,29.2
2024-01-09,夜班,TR-19,9.8,47.6,30.1
2024-01-09,夜班,TR-20,9.6,51.2,25.8
2024-01-10,早班,TR-01,11.3,40.8,28.2
2024-01-10,早班,TR-02,9.6,49.5,28.3
2024-01-10,早班,TR-04,11.5,36.5,28.0
2024-01-10,早班,TR-05,7.4,65.7,32.0
2024-01-10,早班,TR-06,12.0,39.8,35.4
2024-01-10,早班,TR-07,11.8,41.5,32.0
2024-01-10,早班,TR-08,8.6,54.9,32.0
2024-01-10,早班,TR-09,10.7,43.9,31.0
2024-01-10,早班,TR-10,10.1,46.0,25.8
2024-01-10,早班,TR-11,11.0,45.6,28.9
2024-01-10,早班,TR-12,9.4,48.0,30.3
2024-01-10,早班,TR-13,11.5,38.3,29.2
2024-01-10,早班,TR-14,11.0,43.2,31.2
2024-01-10,早班,TR-15,10.8,39.5,30.0
2024-01-10,早班,TR-16,12.8,41.9,29.4
2024-01-10,早班,TR-17,8.6,54.8,28.1
2024-01-10,早班,TR-18,11.7,40.6,33.1
2024-01-10,早班,TR-20,8.3,58.3,34.5
2024-01-10,中班,TR-01,13.8,32.4,27.9
2024-01-10,中班,TR-02,11.3,39.3,31.4
2024-01-10,中班,TR-04,9.8,53.2,28.0
2024-01-10,中班,TR-05,9.6,46.5,30.9
2024-01-10,中班,TR-06,12.0,37.9,33.2
2024-01-10,中班,TR-07,9.2,51.0,32.8
2024-01-10,中班,TR-08,8.9,48.1,26.2
2024-01-10,中班,TR-09,10.5,40.8,27.7
2024-01-10,中班,TR-10,10.2,45.5,29.2
2024-01-10,中班,TR-11,12.0,38.8,29.6
2024-01-10,中班,TR-12,7.9,60.4,28.6
2024-01-10,中班,TR-13,11.9,38.0,33.2
2024-01-10,中班,TR-14,8.7,54.8,29.3
2024-01-10,中班,TR-15,12.3,38.4,30.5
2024-01-10,中班,TR-16,11.6,40.2,26.9
2024-01-10,中班,TR-17,9.8,49.8,28.8
2024-01-10,中班,TR-18,12.2,39.8,30.7
2024-01-10,中班,TR-19,10.1,44.7,32.2
2024-01-10,中班,TR-20,9.2,52.1,31.5
2024-01-10,夜班,TR-01,11.1,45.4,30.5
2024-01-10,夜班,TR-02,8.4,54.9,31.9
2024-01-10,夜班,TR-03,6.7,73.5,29.3
2024-01-10,夜班,TR-05,10.4,42.6,26.2
2024-01-10,夜班,TR-06,12.3,40.5,33.0
2024-01-10,夜班,TR-07,10.4,45.4,28.7
2024-01-10,夜班,TR-08,9.4,49.2,33.9
2024-01-10,夜班,TR-09,9.7,49.9,31.2
2024-01-10,夜班,TR-11,10.8,43.1,27.4
2024-01-10,夜班,TR-12,8.1,55.0,30.5
2024-01-10,夜班,TR-13,11.6,42.2,31.2
2024-01-10,夜班,TR-14,10.2,49.1,27.4
2024-01-10,夜班,TR-17,10.8,43.1,28.8
2024-01-10,夜班,TR-18,11.8,38.9,29.6
2024-01-10,夜班,TR-19,9.1,52.1,31.4
2024-01-10,夜班,TR-20,9.3,52.4,28.7
2024-01-11,早班,TR-01,11.9,39.2,30.1
2024-01-11,早班,TR-02,10.9,43.9,27.6
2024-01-11,早班,TR-03,8.9,51.2,30.3
2024-01-11,早班,TR-06,13.3,32.7,27.9
2024-01-11,早班,TR-07,11.2,42.5,27.7
2024-01-11,早班,TR-08,9.8,46.8,29.3
2024-01-11,早班,TR-09,10.1,46.5,32.0
2024-01-11,早班,TR-10,12.1,39.4,30.6
2024-01-11,早班,TR-11,8.2,55.6,28.8
2024-01-11,早班,TR-12,10.6,40.8,27.0
2024-01-11,早班,TR-14,9.9,51.4,31.7
2024-01-11,早班,TR-15,13.9,35.8,31.8
2024-01-11,早班,TR-16,13.3,39.9,25.4
2024-01-11,早班,TR-18,7.7,64.4,32.4
2024-01-11,早班,TR-19,10.9,48.3,30.8
2024-01-11,中班,TR-02,8.3,52.5,29.6
2024-01-11,中班,TR-04,9.4,44.9,31.8
2024-01-11,中班,TR-06,11.5,41.7,31.7
2024-01-11,中班,TR-07,10.5,43.1,28.7
2024-01-11,中班,TR-08,8.8,55.5,30.0
2024-01-11,中班,TR-09,11.2,39.8,30.0
2024-01-11,中班,TR-10,12.5,34.3,30.2
2024-01-11,中班,TR-11,8.5,55.9,26.0
2024-01-11,中班,TR-12,7.0,68.0,27.5
2024-01-11,中班,TR-13,11.9,38.4,29.7
2024-01-11,中班,TR-15,10.7,42.8,29.8
