blast_id,date,bench,rock_type,hole_depth_m,burden_m,explosive_kg,rock_volume_m3,explosive_consumption,fragmentation_rate
BL-0085,2024-07-18,1025m,片麻岩,12.7,5.4,13458.0,22723.0,0.592,91.3
BL-0086,2024-07-19,1025m,砂岩,14.2,5.4,15122.0,27115.0,0.558,98.7
BL-0087,2024-07-21,1070m,片麻岩,12.1,5.5,7373.0,12846.0,0.574,94.2
BL-0088,2024-07-22,1070m,花岗岩,12.1,5.0,4710.0,14494.0,0.325,55.4
BL-0089,2024-07-23,1025m,片麻岩,14.9,3.8,4717.0,14381.0,0.328,57.9
BL-0090,2024-07-23,1025m,花岗岩,12.7,4.4,14587.0,20554.0,0.71,55.0
BL-0091,2024-07-23,1025m,砂岩,15.2,5.3,14156.0,29696.0,0.477,86.2
BL-0092,2024-07-24,1025m,花岗岩,16.4,4.9,9219.0,27811.0,0.331,55.0
BL-0093,2024-07-24,1070m,片麻岩,12.7,4.3,11814.0,17661.0,0.669,69.8
BL-0094,2024-07-25,1070m,花岗岩,17.3,4.0,5615.0,8684.0,0.647,73.9
BL-0095,2024-08-01,1010m,花岗岩,15.5,4.1,4812.0,13040.0,0.369,58.8
BL-0096,2024-08-02,1040m,大理岩,17.5,4.4,6132.0,18762.0,0.327,57.0
BL-0097,2024-08-05,1070m,大理岩,17.4,3.5,11736.0,18118.0,0.648,74.7
BL-0098,2024-08-06,1055m,大理岩,12.7,5.5,11202.0,26539.0,0.422,69.1
BL-0099,2024-08-06,1070m,花岗岩,14.3,5.2,14375.0,28618.0,0.502,91.3
BL-0100,2024-08-07,1025m,花岗岩,16.1,5.3,7820.0,13458.0,0.581,89.2
BL-0101,2024-08-08,1025m,片麻岩,16.0,5.1,7052.0,11339.0,0.622,81.3
BL-0102,2024-08-08,1025m,大理岩,17.5,4.2,8862.0,11393.0,0.778,55.0
BL-0103,2024-08-08,1025m,花岗岩,17.7,4.6,16296.0,26172.0,0.623,81.9
BL-0104,2024-08-10,1070m,花岗岩,16.2,5.0,9210.0,17947.0,0.513,90.1
BL-0105,2024-08-10,1010m,砂岩,17.1,3.7,15613.0,21175.0,0.737,59.5
BL-0106,2024-08-12,1040m,花岗岩,12.2,5.0,6708.0,10124.0,0.663,65.8
BL-0107,2024-08-17,1040m,花岗岩,17.8,3.9,9452.0,17328.0,0.545,96.3
BL-0108,2024-08-17,1070m,片麻岩,14.8,5.3,4085.0,12487.0,0.327,55.0
BL-0109,2024-08-26,1070m,片麻岩,15.5,3.7,11869.0,19523.0,0.608,90.8
BL-0110,2024-08-27,1040m,大理岩,12.3,4.3,13048.0,19420.0,0.672,68.1
BL-0111,2024-08-27,1040m,片麻岩,17.0,5.4,12130.0,21378.0,0.567,91.8
BL-0112,2024-08-28,1010m,大理岩,17.7,4.1,11923.0,21579.0,0.553,97.4
BL-0113,2024-08-29,1070m,花岗岩,16.9,4.7,14588.0,23861.0,0.611,83.9
BL-0114,2024-08-30,1040m,片麻岩,15.6,3.9,6827.0,11106.0,0.615,90.3
BL-0115,2024-08-30,1010m,大理岩,13.4,5.0,13031.0,28957.0,0.45,73.4
BL-0116,2024-09-03,1055m,片麻岩,17.6,5.3,15397.0,25797.0,0.597,90.2
BL-0117,2024-09-05,1055m,片麻岩,12.0,4.5,18116.0,29025.0,0.624,85.8
BL-0118,2024-09-13,1010m,大理岩,12.2,5.4,6502.0,10566.0,0.615,87.4
BL-0119,2024-09-14,1040m,片麻岩,12.6,4.7,9367.0,25138.0,0.373,60.9
BL-0120,2024-09-16,1025m,花岗岩,15.1,5.4,8565.0,20993.0,0.408,64.7
BL-0121,2024-09-17,1040m,片麻岩,17.8,4.6,8367.0,11324.0,0.739,57.8
BL-0122,2024-09-26,1040m,片麻岩,12.5,5.0,8661.0,25148.0,0.344,58.4
BL-0123,2024-09-26,1040m,片麻岩,16.4,4.9,6887.0,14097.0,0.489,86.0
BL-0124,2024-09-26,1025m,片麻岩,12.5,3.6,7297.0,15990.0,0.456,79.1
BL-0125,2024-09-27,1070m,砂岩,17.9,4.7,12092.0,25743.0,0.47,83.8
BL-0126,2024-09-28,1025m,花岗岩,14.6,3.9,8272.0,14559.0,0.568,95.7
BL-0127,2024-09-29,1040m,片麻岩,14.3,4.0,13510.0,17981.0,0.751,55.0
BL-0128,2024-10-02,1040m,花岗岩,13.3,5.2,6816.0,10146.0,0.672,70.6
BL-0129,2024-10-05,1055m,片麻岩,12.4,4.8,9376.0,15644.0,0.599,93.1
BL-0130,2024-10-09,1025m,片麻岩,17.3,3.5,5920.0,8828.0,0.671,73.8
BL-0131,2024-10-12,1055m,片麻岩,17.8,4.7,11827.0,15434.0,0.766,55.7
BL-0132,2024-10-16,1010m,砂岩,17.3,3.8,19763.0,26786.0,0.738,60.6
BL-0133,2024-10-16,1025m,大理岩,16.0,5.0,12212.0,22032.0,0.554,91.8
BL-0134,2024-10-18,1025m,片麻岩,12.6,4.8,6376.0,15093.0,0.422,74.4
BL-0135,2024-10-18,1055m,片麻岩,15.6,4.8,13204.0,16582.0,0.796,56.4
BL-0136,2024-10-20,1055m,砂岩,17.8,3.6,9849.0,20182.0,0.488,89.4
BL-0137,2024-10-21,1070m,花岗岩,17.5,4.6,10156.0,14436.0,0.704,62.2
BL-0138,2024-10-24,1070m,片麻岩,15.8,4.0,20981.0,29698.0,0.706,61.7
BL-0139,2024-10-24,1040m,花岗岩,15.6,4.7,8668.0,25467.0,0.34,55.0
BL-0140,2024-10-26,1070m,片麻岩,13.8,4.6,9155.0,23421.0,0.391,61.9
BL-0141,2024-10-27,1010m,花岗岩,12.2,3.9,10839.0,18826.0,0.576,91.8
BL-0142,2024-10-29,1055m,大理岩,16.6,4.4,17748.0,23228.0,0.764,60.8
BL-0143,2024-11-01,1010m,砂岩,14.1,4.5,15215.0,19049.0,0.799,55.0
BL-0144,2024-11-02,1040m,片麻岩,16.1,4.8,13223.0,27173.0,0.487,87.1
BL-0145,2024-11-06,1010m,大理岩,17.3,5.2,2775.0,8022.0,0.346,59.9
BL-0146,2024-11-20,1070m,花岗岩,13.6,4.2,10687.0,24936.0,0.429,68.1
BL-0147,2024-11-21,1010m,花岗岩,17.7,4.0,5245.0,8187.0,0.641,74.8
BL-0148,2024-11-23,1055m,片麻岩,15.6,4.7,12104.0,24705.0,0.49,90.4
BL-0149,2024-11-26,1010m,砂岩,13.1,5.0,11915.0,28479.0,0.418,74.2
BL-0150,2024-11-30,1040m,砂岩,12.8,4.7,8415.0,20290.0,0.415,69.6
BL-0151,2024-12-01,1010m,大理岩,14.1,5.2,5271.0,9572.0,0.551,99.0
BL-0152,2024-12-02,1070m,砂岩,14.9,5.0,15934.0,22164.0,0.719,59.5
BL-0153,2024-12-05,1070m,花岗岩,15.8,4.2,6937.0,13266.0,0.523,92.1
BL-0154,2024-12-05,1010m,大理岩,17.2,5.5,17757.0,28919.0,0.614,84.7
BL-0155,2024-12-06,1025m,花岗岩,16.7,5.4,19380.0,27510.0,0.704,59.2
BL-0156,2024-12-09,1010m,砂岩,15.2,5.2,6511.0,14075.0,0.463,85.4
BL-0157,2024-12-10,1040m,片麻岩,16.4,4.7,18416.0,28253.0,0.652,74.1
BL-0158,2024-12-14,1010m,砂岩,13.3,4.8,18848.0,27127.0,0.695,66.7
BL-0159,2024-12-15,1070m,花岗岩,13.1,5.0,7794.0,9810.0,0.795,55.0
BL-0160,2024-12-25,1010m,花岗岩,17.3,5.4,9384.0,12562.0,0.747,57.1
BL-0161,2025-01-01,1040m,砂岩,14.6,4.6,5518.0,10242.0,0.539,97.3
BL-0162,2025-01-03,1010m,片麻岩,14.2,4.9,7288.0,9304.0,0.783,57.0
BL-0163,2025-01-03,1055m,大理岩,14.5,5.3,7150.0,9384.0,0.762,55.8
BL-0164,2025-01-03,1025m,砂岩,17.9,4.4,4496.0,10588.0,0.425,73.0
BL-0165,2025-01-05,1070m,片麻岩,15.4,4.9,8684.0,14787.0,0.587,92.8
BL-0166,2025-01-06,1055m,花岗岩,13.2,3.8,5671.0,12320.0,0.46,79.0
BL-0167,2025-01-06,1010m,大理岩,17.6,3.7,14875.0,27685.0,0.537,98.0
BL-0168,2025-01-16,1055m,片麻岩,16.1,4.2,9700.0,13931.0,0.696,67.0
BL-0169,2025-01-19,1070m,大理岩,17.0,4.3,13112.0,24323.0,0.539,96.4
BL-0170,2025-01-20,1070m,花岗岩,12.1,3.8,4168.0,8699.0,0.479,80.6
BL-0171,2025-01-23,1025m,花岗岩,13.9,3.6,18738.0,26322.0,0.712,60.7
BL-0172,2025-01-26,1010m,砂岩,15.4,3.8,9955.0,14512.0,0.686,70.3
BL-0173,2025-01-27,1025m,片麻岩,12.6,3.6,3796.0,9082.0,0.418,67.8
BL-0174,2025-01-27,1025m,花岗岩,12.0,4.3,10716.0,15742.0,0.681,66.5
BL-0175,2025-02-01,1070m,片麻岩,17.2,3.7,11645.0,23109.0,0.504,90.7
BL-0176,2025-02-04,1070m,大理岩,17.4,4.8,14479.0,27947.0,0.518,97.6
BL-0177,2025-02-05,1040m,花岗岩,12.8,3.9,20168.0,26423.0,0.763,55.8
BL-0178,2025-02-06,1010m,花岗岩,14.5,5.2,7547.0,19895.0,0.379,59.2
BL-0179,2025-02-07,1040m,片麻岩,14.5,4.1,5860.0,9625.0,0.609,87.0
BL-0180,2025-02-08,1025m,砂岩,13.8,5.1,6598.0,11708.0,0.564,97.4
BL-0181,2025-02-18,1070m,花岗岩,14.4,4.6,9874.0,16089.0,0.614,85.8
BL-0182,2025-02-19,1025m,大理岩,12.8,5.3,9478.0,12658.0,0.749,55.9
BL-0183,2025-02-20,1025m,砂岩,14.5,4.7,13932.0,20748.0,0.671,77.7
BL-0184,2025-02-22,1040m,大理岩,17.6,3.6,12956.0,16428.0,0.789,57.2
BL-0185,2025-02-23,1055m,片麻岩,17.7,4.3,9089.0,16161.0,0.562,97.8
BL-0186,2025-02-25,1025m,片麻岩,14.0,4.6,7870.0,17181.0,0.458,78.6
BL-0187,2025-02-26,1040m,砂岩,13.0,4.5,8368.0,14418.0,0.58,99.0
BL-0188,2025-02-27,1070m,花岗岩,14.3,3.8,15385.0,21712.0,0.709,66.9
BL-0189,2025-02-28,1070m,片麻岩,13.8,3.8,4786.0,12774.0,0.375,61.4
BL-0190,2025-03-04,1070m,花岗岩,12.5,5.0,7759.0,12901.0,0.601,84.6
BL-0191,2025-03-05,1025m,大理岩,16.6,4.3,7406.0,15356.0,0.482,84.6
BL-0192,2025-03-05,1070m,大理岩,17.9,3.8,19454.0,28862.0,0.674,75.6
BL-0193,2025-03-10,1010m,大理岩,12.7,5.2,9039.0,13482.0,0.67,72.5
BL-0194,2025-03-21,1070m,花岗岩,15.8,5.5,7993.0,16912.0,0.473,81.9
BL-0195,2025-03-22,1010m,片麻岩,13.2,4.5,10302.0,19890.0,0.518,95.7
BL-0196,2025-03-24,1025m,砂岩,12.7,5.2,12408.0,27783.0,0.447,78.4
BL-0197,2025-03-24,1010m,片麻岩,12.7,4.0,13960.0,29346.0,0.476,84.9
BL-0198,2025-03-24,1040m,大理岩,12.1,4.0,5789.0,12377.0,0.468,78.9
BL-0199,2025-03-26,1010m,片麻岩,13.5,4.4,6146.0,10672.0,0.576,94.5
BL-0200,2025-03-29,1070m,砂岩,14.2,4.6,17270.0,25403.0,0.68,73.6
BL-0201,2025-04-01,1040m,花岗岩,14.6,3.8,5797.0,12510.0,0.463,77.8
BL-0202,2025-04-02,1070m,大理岩,12.5,3.7,19336.0,28288.0,0.684,68.3
BL-0203,2025-04-03,1070m,大理岩,14.1,4.7,16268.0,21581.0,0.754,55.2
BL-0204,2025-04-05,1025m,砂岩,13.6,4.3,8987.0,12306.0,0.73,60.1
BL-0205,2025-04-09,1055m,花岗岩,14.7,4.7,15036.0,29173.0,0.515,89.2
BL-0206,2025-04-15,1070m,片麻岩,13.0,5.0,7853.0,11575.0,0.678,69.7
BL-0207,2025-04-16,1055m,片麻岩,14.2,5.4,11943.0,25962.0,0.46,83.0
BL-0208,2025-04-22,1040m,片麻岩,15.8,4.7,9134.0,21044.0,0.434,74.5
BL-0209,2025-04-25,1040m,大理岩,14.4,4.5,7743.0,12459.0,0.622,83.4
BL-0210,2025-04-30,1010m,片麻岩,14.9,4.2,8243.0,20496.0,0.402,64.5
BL-0211,2025-05-01,1010m,大理岩,15.2,4.0,4467.0,10565.0,0.423,72.0
BL-0212,2025-05-02,1010m,片麻岩,16.3,5.2,19290.0,29030.0,0.664,69.0
BL-0213,2025-05-03,1025m,大理岩,14.8,3.7,16059.0,21417.0,0.75,55.0
BL-0214,2025-05-08,1070m,大理岩,12.1,3.5,7270.0,12528.0,0.58,93.2
BL-0215,2025-05-09,1010m,砂岩,16.1,3.5,4512.0,11969.0,0.377,67.2
BL-0216,2025-05-12,1070m,花岗岩,17.3,4.2,4207.0,8687.0,0.484,80.3
BL-0217,2025-05-14,1025m,大理岩,13.7,4.3,12075.0,27707.0,0.436,74.0
BL-0218,2025-05-18,1025m,花岗岩,15.4,4.5,14861.0,25904.0,0.574,90.5
BL-0219,2025-05-19,1070m,花岗岩,12.3,4.4,15523.0,27825.0,0.558,97.3
BL-0220,2025-05-19,1010m,花岗岩,15.5,5.0,8674.0,11430.0,0.759,55.0
BL-0221,2025-05-23,1025m,砂岩,12.7,5.1,13534.0,29097.0,0.465,84.9
BL-0222,2025-05-24,1040m,砂岩,17.6,5.1,11806.0,17889.0,0.66,72.9
BL-0223,2025-05-27,1055m,花岗岩,17.0,5.2,4770.0,13878.0,0.344,55.0
BL-0224,2025-05-29,1040m,花岗岩,13.5,5.4,14729.0,29580.0,0.498,90.5
BL-0225,2025-06-02,1055m,花岗岩,13.9,4.2,6726.0,8847.0,0.76,55.0
BL-0226,2025-06-03,1070m,大理岩,12.5,5.0,9463.0,23445.0,0.404,63.1
BL-0227,2025-06-05,1040m,片麻岩,16.2,3.5,9732.0,16108.0,0.604,90.0
BL-0228,2025-06-06,1025m,砂岩,14.9,4.1,13665.0,23369.0,0.585,95.2
BL-0229,2025-06-07,1070m,花岗岩,12.3,3.5,9723.0,16827.0,0.578,91.4
BL-0230,2025-06-11,1010m,花岗岩,15.6,5.1,15080.0,23123.0,0.652,71.7
BL-0231,2025-06-11,1025m,砂岩,17.5,4.7,16312.0,22336.0,0.73,65.9
BL-0232,2025-06-12,1070m,大理岩,16.1,4.5,18624.0,27353.0,0.681,69.6
BL-0233,2025-06-13,1010m,花岗岩,12.8,4.4,9183.0,11794.0,0.779,55.0
BL-0234,2025-06-13,1070m,花岗岩,17.5,5.2,3950.0,10881.0,0.363,57.0
BL-0235,2025-06-18,1055m,片麻岩,15.9,4.3,7388.0,11955.0,0.618,84.1
BL-0236,2025-06-20,1055m,大理岩,12.6,4.6,5795.0,8304.0,0.698,65.2
BL-0237,2025-07-04,1055m,花岗岩,16.0,4.2,7843.0,21745.0,0.361,58.7
BL-0238,2025-07-06,1025m,砂岩,14.6,4.4,12486.0,28385.0,0.44,74.8
BL-0239,2025-07-07,1040m,花岗岩,15.9,4.3,14191.0,19510.0,0.727,58.7
BL-0240,2025-07-08,1055m,花岗岩,14.4,3.8,11536.0,26343.0,0.438,75.7
BL-0241,2025-07-09,1010m,花岗岩,13.4,3.7,16053.0,29174.0,0.55,90.1
BL-0242,2025-07-12,1055m,片麻岩,16.4,4.7,19076.0,26753.0,0.713,58.5
BL-0243,2025-07-13,1055m,片麻岩,12.3,3.8,9421.0,28303.0,0.333,58.6
BL-0244,2025-07-13,1010m,片麻岩,14.5,4.0,10940.0,15280.0,0.716,61.4
BL-0245,2025-07-14,1025m,片麻岩,15.9,5.1,6770.0,15531.0,0.436,75.4
BL-0246,2025-07-16,1040m,片麻岩,17.0,4.0,6576.0,15169.0,0.433,74.3
BL-0247,2025-07-26,1040m,片麻岩,12.0,5.3,14140.0,29271.0,0.483,87.0
BL-0248,2025-08-01,1055m,大理岩,17.1,3.7,20314.0,25455.0,0.798,56.0
BL-0249,2025-08-07,1055m,砂岩,13.7,3.9,7199.0,10642.0,0.676,71.3
BL-0250,2025-08-15,1055m,大理岩,17.4,5.3,17282.0,29370.0,0.588,88.6
BL-0251,2025-08-20,1025m,大理岩,14.3,5.2,18039.0,27865.0,0.647,81.8
BL-0252,2025-08-22,1070m,大理岩,16.4,3.5,2945.0,8027.0,0.367,58.9
BL-0253,2025-08-26,1070m,片麻岩,14.7,4.9,14167.0,17783.0,0.797,55.0
BL-0254,2025-08-27,1070m,大理岩,13.0,4.9,6353.0,12298.0,0.517,95.4
BL-0255,2025-08-27,1040m,花岗岩,17.5,5.1,5348.0,14387.0,0.372,58.7
BL-0256,2025-08-27,1010m,花岗岩,13.8,3.8,11315.0,29395.0,0.385,57.9
BL-0257,2025-08-29,1025m,大理岩,13.2,5.4,10607.0,15644.0,0.678,69.3
BL-0258,2025-08-30,1025m,片麻岩,12.3,4.4,9414.0,18218.0,0.517,94.3
BL-0259,2025-08-30,1025m,花岗岩,14.4,4.0,4848.0,9888.0,0.49,86.1
BL-0260,2025-09-05,1025m,大理岩,12.5,4.2,5949.0,11729.0,0.507,93.5
BL-0261,2025-09-07,1055m,砂岩,12.2,5.5,13259.0,25115.0,0.528,93.5
BL-0262,2025-09-14,1040m,片麻岩,13.3,3.8,10662.0,20058.0,0.532,94.2
BL-0263,2025-09-14,1010m,片麻岩,15.7,4.9,12172.0,18594.0,0.655,78.0
BL-0264,2025-09-14,1070m,花岗岩,12.1,4.4,7701.0,20180.0,0.382,56.4
BL-0265,2025-09-15,1070m,砂岩,16.0,4.6,16885.0,28150.0,0.6,94.4
BL-0266,2025-09-17,1070m,花岗岩,12.0,5.0,8851.0,13056.0,0.678,68.2
BL-0267,2025-09-21,1025m,大理岩,14.7,4.4,5820.0,11881.0,0.49,91.1
BL-0268,2025-09-24,1010m,大理岩,15.6,4.9,10473.0,18286.0,0.573,94.5
BL-0269,2025-09-24,1055m,片麻岩,13.1,5.3,9713.0,28988.0,0.335,63.9
BL-0270,2025-09-24,1025m,片麻岩,12.7,4.2,11629.0,24139.0,0.482,83.6
BL-0271,2025-09-28,1070m,砂岩,13.7,5.0,11675.0,19669.0,0.594,97.6
BL-0272,2025-09-29,1040m,花岗岩,13.7,4.6,11420.0,19927.0,0.573,96.7
BL-0273,2025-10-04,1070m,片麻岩,16.0,4.5,14047.0,22510.0,0.624,80.9
BL-0274,2025-10-06,1070m,花岗岩,16.7,4.0,5176.0,12063.0,0.429,70.3
BL-0275,2025-10-11,1055m,大理岩,12.5,5.4,10414.0,18012.0,0.578,93.8
BL-0276,2025-10-12,1055m,片麻岩,14.1,5.0,8964.0,21789.0,0.411,67.4
BL-0277,2025-10-13,1040m,花岗岩,14.7,4.4,17306.0,27275.0,0.634,76.9
BL-0278,2025-10-16,1040m,片麻岩,14.9,4.2,18947.0,27631.0,0.686,62.1
BL-0279,2025-10-19,1040m,大理岩,13.7,5.0,15771.0,21519.0,0.733,57.4
BL-0280,2025-10-20,1055m,片麻岩,15.9,5.0,4500.0,10786.0,0.417,70.8
BL-0281,2025-10-22,1040m,大理岩,13.3,4.6,5515.0,12623.0,0.437,75.8
BL-0282,2025-10-28,1025m,片麻岩,17.3,4.5,7074.0,9323.0,0.759,60.9
BL-0283,2025-11-05,1010m,片麻岩,12.8,3.9,8560.0,14677.0,0.583,95.7
BL-0284,2025-11-06,1070m,砂岩,16.6,5.3,16632.0,27923.0,0.596,96.1
BL-0285,2025-11-08,1055m,砂岩,12.9,4.9,7284.0,10739.0,0.678,73.0
