date,loss_rate,dilution_rate,actual_grade,model_grade
2024-04-27,4.89,5.43,30.02,30.29
2024-04-28,4.18,5.13,31.59,29.82
2024-04-29,4.27,5.98,29.81,30.55
2024-04-30,4.55,4.26,29.17,29.96
2024-05-01,5.15,5.19,28.89,30.25
2024-05-02,5.07,5.35,29.67,30.36
2024-05-03,4.3,5.17,29.16,29.98
2024-05-04,4.35,6.02,29.59,30.41
2024-05-05,5.33,4.68,29.62,30.24
2024-05-06,4.96,5.06,29.02,30.0
2024-05-07,5.38,5.71,29.27,30.07
2024-05-08,5.23,5.88,29.96,30.48
2024-05-09,5.51,5.8,29.51,30.57
2024-05-10,4.05,4.22,29.0,29.93
2024-05-11,4.98,6.63,29.83,30.49
2024-05-12,4.55,4.55,29.66,30.36
2024-05-13,4.97,4.86,29.08,30.3
2024-05-14,4.49,5.5,29.41,30.25
2024-05-15,4.61,4.22,29.69,30.41
2024-05-16,4.98,4.94,28.98,30.04
2024-05-17,5.36,4.32,29.1,30.11
2024-05-18,5.19,4.63,29.61,30.34
2024-05-19,5.05,4.56,29.82,30.38
2024-05-20,4.08,4.87,29.27,30.22
2024-05-21,4.39,5.4,29.54,30.03
2024-05-22,4.43,5.14,29.14,30.28
2024-05-23,4.45,4.79,29.53,30.11
2024-05-24,4.42,5.26,29.82,30.45
2024-05-25,3.96,4.7,29.82,30.15
2024-05-26,4.56,5.38,29.81,30.64
2024-05-27,4.19,5.05,29.82,29.95
2024-05-28,4.72,5.63,29.21,30.25
2024-05-29,4.43,5.72,29.0,30.04
2024-05-30,4.14,4.66,29.23,30.21
2024-05-31,4.65,4.96,29.55,30.33
2024-06-01,4.84,4.71,30.02,30.42
2024-06-02,4.08,4.93,29.37,30.4
2024-06-03,4.25,6.19,29.26,30.19
2024-06-04,4.25,4.24,29.07,29.9
2024-06-05,4.4,5.33,29.02,30.05
2024-06-06,4.53,4.52,29.63,30.42
2024-06-07,4.1,4.66,29.02,30.24
2024-06-08,5.21,5.27,29.04,30.23
2024-06-09,4.36,4.6,29.43,30.22
2024-06-10,4.25,5.43,29.62,30.26
2024-06-11,4.4,6.12,29.34,30.32
2024-06-12,4.6,5.27,29.21,30.11
2024-06-13,4.36,4.32,29.12,30.26
2024-06-14,5.32,4.59,29.66,30.19
2024-06-15,4.45,4.74,29.62,30.68
2024-06-16,5.02,4.83,29.6,30.32
2024-06-17,4.61,6.17,28.86,30.0
2024-06-18,4.22,5.33,29.38,30.31
2024-06-19,3.9,5.24,29.57,30.29
2024-06-20,4.57,5.32,29.17,30.04
2024-06-21,4.61,4.28,29.38,29.83
2024-06-22,4.42,4.43,29.72,30.62
2024-06-23,4.81,4.46,29.36,30.26
2024-06-24,3.94,4.69,29.58,30.06
2024-06-25,3.64,5.15,29.15,30.13
2024-06-26,4.01,4.71,29.43,30.29
2024-06-27,4.97,5.53,29.78,30.45
2024-06-28,4.89,5.31,29.97,30.2
2024-06-29,4.54,4.9,29.96,30.32
2024-06-30,4.42,4.04,29.44,30.32
2024-07-01,4.45,3.95,29.99,30.14
2024-07-02,5.05,5.61,29.4,30.16
2024-07-03,4.37,4.79,29.95,30.44
2024-07-04,4.06,4.88,29.45,30.4
2024-07-05,4.92,4.62,29.09,30.36
2024-07-06,4.91,4.4,29.86,30.67
2024-07-07,4.53,4.6,29.39,30.33
2024-07-08,4.27,4.31,29.34,30.28
2024-07-09,4.24,4.81,28.81,30.11
2024-07-10,4.25,5.22,29.28,30.31
2024-07-11,4.44,4.93,28.94,30.0
2024-07-12,4.24,4.36,29.58,30.18
2024-07-13,4.45,4.19,28.78,29.79
2024-07-14,4.3,4.04,29.62,30.6
2024-07-15,5.23,5.23,29.69,30.14
2024-07-16,4.34,4.54,29.73,30.54
2024-07-17,3.81,4.15,29.57,30.57
2024-07-18,4.31,4.45,29.78,30.58
2024-07-19,4.51,4.1,29.05,30.2
2024-07-20,3.57,4.65,29.59,30.58
2024-07-21,3.85,4.38,30.42,30.63
2024-07-22,4.56,4.43,29.83,30.17
2024-07-23,2.98,4.66,29.68,30.14
2024-07-24,3.84,4.92,29.44,30.21
2024-07-25,4.63,5.33,29.36,30.07
2024-07-26,3.94,4.51,30.45,30.44
2024-07-27,4.08,4.21,29.02,29.99
2024-07-28,3.7,4.75,29.4,30.84
2024-07-29,4.5,4.33,29.95,30.33
2024-07-30,5.11,5.34,29.28,30.35
2024-07-31,3.68,4.91,29.46,30.35
2024-08-01,3.91,4.93,29.78,30.52
2024-08-02,3.42,4.22,29.69,30.82
2024-08-03,3.07,4.23,30.86,30.71
2024-08-04,3.11,3.9,29.38,30.18
2024-08-05,5.23,4.74,30.84,30.94
2024-08-06,4.31,4.68,30.64,30.8
2024-08-07,4.12,5.08,30.15,30.85
2024-08-08,4.31,4.05,29.92,30.59
2024-08-09,3.35,3.93,30.1,30.56
2024-08-10,4.02,4.77,30.23,30.74
2024-08-11,4.11,5.32,29.25,29.95
2024-08-12,4.26,3.53,29.0,30.54
2024-08-13,4.33,4.56,29.25,30.42
2024-08-14,3.31,4.9,29.01,29.92
2024-08-15,4.37,4.13,29.96,30.71
2024-08-16,3.49,4.62,30.19,31.14
2024-08-17,4.12,4.05,30.02,30.58
2024-08-18,4.24,4.16,30.33,30.82
2024-08-19,3.88,4.38,29.77,30.69
2024-08-20,3.95,4.43,29.58,30.9
2024-08-21,3.57,3.67,29.68,30.84
2024-08-22,4.44,5.28,30.35,30.88
2024-08-23,4.01,4.07,29.9,30.79
2024-08-24,3.79,4.32,29.38,30.24
2024-08-25,4.19,4.24,29.99,30.83
2024-08-26,3.06,4.33,30.4,31.08
2024-08-27,3.83,4.06,29.68,30.86
2024-08-28,4.4,5.36,29.83,30.84
2024-08-29,5.28,5.79,30.45,30.98
2024-08-30,4.13,4.73,30.64,31.19
2024-08-31,4.15,5.23,29.79,30.66
2024-09-01,3.78,4.62,30.02,30.79
2024-09-02,4.35,4.03,30.04,31.01
2024-09-03,3.65,6.36,31.77,30.69
2024-09-04,4.37,5.93,30.4,31.08
2024-09-05,4.05,3.63,30.04,30.79
2024-09-06,3.36,4.8,29.99,30.52
2024-09-07,4.27,4.46,30.02,30.8
2024-09-08,4.32,5.18,30.15,31.06
2024-09-09,4.1,5.89,29.83,30.64
2024-09-10,4.18,5.03,29.92,30.76
2024-09-11,3.83,5.6,30.08,30.87
2024-09-12,3.43,5.11,29.83,30.54
2024-09-13,3.82,4.17,29.52,30.59
2024-09-14,3.02,4.39,30.45,30.89
2024-09-15,4.46,4.74,30.0,30.98
2024-09-16,3.96,5.22,29.7,30.79
2024-09-17,4.16,4.85,29.71,30.87
2024-09-18,4.3,5.57,29.59,30.85
2024-09-19,4.02,5.44,30.36,31.28
2024-09-20,3.74,4.47,30.18,31.11
2024-09-21,4.32,5.27,29.99,30.72
2024-09-22,3.59,5.29,30.12,30.97
2024-09-23,4.03,4.92,30.7,31.14
2024-09-24,3.27,4.54,29.86,31.16
2024-09-25,2.66,4.21,30.34,31.15
2024-09-26,3.44,3.74,30.43,31.28
2024-09-27,4.81,4.25,29.79,31.05
2024-09-28,3.77,4.58,29.85,30.76
2024-09-29,4.72,5.13,29.53,30.94
2024-09-30,3.77,4.89,30.66,31.46
2024-10-01,3.29,4.32,29.9,31.18
2024-10-02,3.59,5.14,30.58,31.2
2024-10-03,4.33,5.2,30.47,31.46
2024-10-04,3.91,4.89,30.62,31.26
2024-10-05,3.81,4.09,29.77,30.95
2024-10-06,3.04,5.26,30.43,31.08
2024-10-07,3.36,4.63,30.47,31.42
2024-10-08,3.99,5.61,30.57,31.23
2024-10-09,4.12,4.56,30.09,31.12
2024-10-10,3.82,4.37,30.03,30.67
2024-10-11,4.14,4.78,30.3,30.98
2024-10-12,3.08,4.96,31.05,31.21
2024-10-13,3.82,5.35,29.88,30.73
2024-10-14,3.6,5.74,30.13,30.92
2024-10-15,4.4,4.49,31.17,31.25
2024-10-16,4.61,5.83,31.17,31.75
2024-10-17,3.18,5.85,30.66,30.95
2024-10-18,4.46,5.15,30.68,31.31
2024-10-19,3.34,4.28,30.72,31.49
2024-10-20,3.71,5.34,29.45,30.96
2024-10-21,3.76,4.77,30.8,31.62
2024-10-22,3.72,5.41,30.64,31.41
2024-10-23,3.73,4.53,30.73,31.3
2024-10-24,4.18,4.45,30.02,30.95
2024-10-25,3.27,5.26,30.47,31.22
2024-10-26,4.11,6.24,30.41,31.03
2024-10-27,2.81,4.67,30.05,31.12
2024-10-28,3.19,4.24,30.91,31.28
2024-10-29,3.5,4.83,29.93,30.87
2024-10-30,4.14,5.35,30.72,31.27
2024-10-31,3.57,5.87,30.6,31.84
2024-11-01,3.89,5.31,30.41,31.28
2024-11-02,4.59,5.33,31.16,31.54
2024-11-03,2.85,5.04,30.31,31.16
2024-11-04,4.46,4.74,30.23,30.9
2024-11-05,4.2,4.53,30.91,31.17
2024-11-06,3.75,5.26,29.96,31.38
2024-11-07,3.54,4.87,30.77,31.56
2024-11-08,3.82,4.58,30.59,31.44
2024-11-09,4.58,5.44,30.49,30.9
2024-11-10,4.04,5.19,30.6,31.28
2024-11-11,3.71,4.54,30.52,31.39
2024-11-12,3.25,5.29,30.83,31.75
2024-11-13,3.93,4.22,30.52,31.5
2024-11-14,3.73,4.87,30.34,30.99
2024-11-15,4.02,4.32,30.44,30.99
2024-11-16,3.7,5.73,31.12,31.59
2024-11-17,4.15,4.87,30.73,31.32
2024-11-18,4.49,5.75,30.3,30.87
2024-11-19,3.96,5.05,30.76,31.74
2024-11-20,3.79,5.93,30.51,31.44
2024-11-21,4.14,6.34,30.92,31.65
2024-11-22,3.71,4.96,30.45,31.5
2024-11-23,3.42,4.8,29.51,31.09
2024-11-24,4.16,5.26,31.18,31.33
2024-11-25,4.09,5.72,30.1,30.97
2024-11-26,4.41,4.96,30.5,31.16
2024-11-27,4.09,5.2,30.46,31.2
2024-11-28,3.77,5.98,30.54,31.26
2024-11-29,3.88,5.64,30.34,31.04
2024-11-30,4.61,4.45,30.84,31.76
2024-12-01,3.97,4.08,30.63,31.26
2024-12-02,4.04,5.61,30.21,31.24
2024-12-03,4.34,6.64,30.12,31.22
2024-12-04,4.81,4.93,30.39,31.23
2024-12-05,3.43,6.62,31.26,31.55
2024-12-06,2.98,5.68,30.59,31.32
2024-12-07,3.38,5.28,30.57,31.39
2024-12-08,4.08,5.63,31.01,31.61
2024-12-09,4.03,5.72,30.7,31.52
2024-12-10,4.88,5.56,30.89,31.86
2024-12-11,4.3,5.84,31.13,31.64
2024-12-12,3.49,5.16,30.93,31.23
2024-12-13,3.67,5.37,30.75,31.17
2024-12-14,3.08,4.83,30.09,30.55
2024-12-15,4.73,5.57,31.54,31.84
2024-12-16,4.26,6.3,31.01,31.8
2024-12-17,4.3,5.07,30.47,31.28
2024-12-18,4.66,4.76,30.75,31.54
2024-12-19,4.6,5.71,31.12,31.71
2024-12-20,4.11,4.19,30.11,30.96
2024-12-21,4.58,5.86,30.62,31.13
2024-12-22,4.6,5.31,30.45,31.0
2024-12-23,4.34,5.59,30.54,31.49
2024-12-24,4.53,4.93,30.41,31.31
2024-12-25,4.15,5.8,30.64,31.39
2024-12-26,3.88,6.39,30.42,31.06
2024-12-27,4.55,4.99,30.65,31.06
2024-12-28,4.92,6.2,30.3,31.29
2024-12-29,3.92,5.46,30.87,31.51
2024-12-30,3.93,4.87,28.48,31.44
2024-12-31,4.98,5.37,30.45,31.43
2025-01-01,3.73,5.83,29.94,31.08
2025-01-02,4.38,5.91,30.54,31.31
2025-01-03,3.82,6.22,30.79,31.73
2025-01-04,4.2,5.37,30.55,31.73
2025-01-05,4.17,3.88,32.17,31.1
2025-01-06,3.81,6.05,30.98,31.53
2025-01-07,3.87,5.58,30.03,31.0
2025-01-08,3.79,5.92,30.9,31.59
2025-01-09,5.13,6.26,30.46,31.02
2025-01-10,5.02,6.02,30.92,31.32
2025-01-11,4.22,5.74,31.11,31.28
2025-01-12,4.34,5.47,31.15,31.63
2025-01-13,4.59,6.64,30.44,30.98
2025-01-14,3.83,5.11,30.68,31.07
2025-01-15,4.52,5.69,30.57,31.16
2025-01-16,3.77,6.8,31.09,31.47
2025-01-17,5.43,5.56,30.92,31.34
2025-01-18,4.45,5.1,30.94,31.45
2025-01-19,4.2,5.66,31.19,31.59
2025-01-20,4.43,5.05,30.57,31.3
2025-01-21,3.67,5.85,30.38,31.38
2025-01-22,4.7,6.3,30.6,30.77
2025-01-23,5.3,5.35,29.66,30.62
2025-01-24,4.05,6.2,31.12,31.57
2025-01-25,3.85,5.25,30.61,31.65
2025-01-26,4.4,6.93,30.28,31.36
2025-01-27,4.97,6.44,30.04,31.18
2025-01-28,4.77,4.8,30.46,31.19
2025-01-29,4.56,5.26,30.25,30.77
2025-01-30,4.51,5.75,30.49,31.27
2025-01-31,4.77,4.64,29.93,30.91
2025-02-01,4.48,6.0,30.07,30.61
2025-02-02,4.73,5.97,30.72,31.28
2025-02-03,3.92,5.99,29.94,30.86
2025-02-04,3.97,5.27,30.54,31.27
2025-02-05,4.68,6.35,30.95,31.69
2025-02-06,5.31,5.11,30.16,30.8
2025-02-07,4.7,6.65,30.79,31.13
2025-02-08,3.91,5.57,30.03,31.13
2025-02-09,4.82,6.5,30.41,31.39
2025-02-10,4.35,5.91,30.26,30.77
2025-02-11,3.96,5.46,30.77,31.22
2025-02-12,4.52,6.5,30.15,31.15
2025-02-13,4.54,5.45,30.67,31.27
2025-02-14,4.99,5.89,30.39,31.19
2025-02-15,5.02,5.76,30.7,31.17
2025-02-16,4.89,6.53,29.82,31.04
2025-02-17,4.41,5.69,29.54,30.49
2025-02-18,4.9,6.37,29.67,30.64
2025-02-19,4.77,5.56,30.1,30.73
2025-02-20,4.93,6.07,30.99,31.44
2025-02-21,5.13,5.37,29.15,30.38
2025-02-22,5.04,5.46,30.24,31.01
2025-02-23,5.28,4.3,29.71,30.74
2025-02-24,4.75,5.27,30.55,30.67
2025-02-25,4.6,5.84,30.06,31.0
2025-02-26,5.26,5.01,29.84,30.76
2025-02-27,4.64,4.9,30.46,30.85
2025-02-28,4.72,5.24,30.27,30.92
2025-03-01,4.77,5.5,30.16,30.62
2025-03-02,4.1,4.75,30.24,30.88
2025-03-03,5.43,5.89,29.51,31.23
2025-03-04,5.4,6.94,30.51,31.23
2025-03-05,5.05,5.46,30.03,30.62
2025-03-06,5.01,5.93,29.55,30.72
2025-03-07,4.16,6.46,30.35,31.02
2025-03-08,5.3,6.3,29.88,30.82
2025-03-09,4.92,5.85,29.99,30.81
2025-03-10,4.39,5.49,30.6,30.95
2025-03-11,5.33,5.18,30.38,31.14
2025-03-12,4.35,6.32,30.0,30.85
2025-03-13,4.56,4.93,30.24,31.03
2025-03-14,4.57,5.34,30.0,30.87
2025-03-15,4.59,5.54,30.24,30.46
2025-03-16,3.53,5.66,30.18,30.88
2025-03-17,5.49,5.18,29.62,30.59
2025-03-18,4.08,4.74,29.9,30.46
2025-03-19,5.06,6.49,29.75,30.81
2025-03-20,5.19,6.04,29.65,30.3
2025-03-21,5.43,6.01,30.26,30.67
2025-03-22,4.9,5.29,29.63,30.77
2025-03-23,4.85,5.8,30.0,30.6
2025-03-24,5.63,4.64,30.38,31.21
2025-03-25,5.42,5.69,30.18,30.7
2025-03-26,4.67,5.24,29.03,30.07
2025-03-27,4.57,5.89,29.66,30.4
2025-03-28,4.96,5.24,29.87,30.53
2025-03-29,4.34,5.24,30.29,31.0
2025-03-30,4.06,6.16,30.42,30.74
2025-03-31,4.78,5.13,29.55,30.66
2025-04-01,5.66,5.85,29.66,30.46
2025-04-02,4.05,5.26,29.79,30.53
2025-04-03,5.21,6.21,30.03,30.29
2025-04-04,3.93,4.65,30.48,31.12
2025-04-05,4.74,5.52,30.02,30.57
2025-04-06,4.75,5.92,29.1,30.07
2025-04-07,5.25,5.33,29.76,30.73
2025-04-08,4.74,5.53,29.71,30.41
2025-04-09,4.86,4.96,29.59,30.49
2025-04-10,4.55,4.4,29.89,30.46
2025-04-11,4.99,4.43,29.01,30.01
2025-04-12,5.23,6.17,28.95,29.81
2025-04-13,4.55,5.01,29.77,30.24
2025-04-14,4.87,5.28,29.87,30.59
2025-04-15,4.89,5.44,29.81,30.47
2025-04-16,4.1,5.94,29.51,30.41
2025-04-17,4.46,6.25,28.8,30.0
2025-04-18,4.72,6.12,29.74,30.49
2025-04-19,4.89,5.89,29.84,30.16
2025-04-20,5.02,5.92,29.94,30.61
2025-04-21,5.71,5.43,29.73,30.39
2025-04-22,4.24,6.32,29.81,30.37
2025-04-23,4.49,6.18,29.49,30.21
2025-04-24,4.73,5.68,29.88,30.35
2025-04-25,4.34,5.59,30.43,30.87
2025-04-26,5.66,5.39,30.14,30.7
2025-04-27,5.0,4.9,29.08,30.2
2025-04-28,5.56,5.39,29.23,30.15
2025-04-29,4.7,6.3,29.15,30.02
2025-04-30,4.32,5.92,29.33,30.24
2025-05-01,4.52,5.77,29.32,30.28
2025-05-02,3.92,5.45,29.21,29.86
2025-05-03,5.5,4.85,29.61,30.37
2025-05-04,4.41,4.69,29.13,30.12
2025-05-05,5.28,4.77,28.85,30.22
2025-05-06,4.45,5.62,29.81,30.14
2025-05-07,4.39,4.78,29.31,30.04
2025-05-08,3.85,5.0,29.21,30.22
2025-05-09,5.34,5.09,29.35,30.11
2025-05-10,4.91,5.11,29.37,30.03
2025-05-11,4.72,6.08,29.84,30.24
2025-05-12,4.05,6.11,29.17,30.12
2025-05-13,4.48,5.0,29.32,30.43
2025-05-14,4.77,4.03,29.41,30.2
2025-05-15,4.56,4.49,29.29,30.26
2025-05-16,4.88,4.75,28.37,30.31
2025-05-17,4.58,5.2,29.21,29.87
2025-05-18,3.97,6.07,29.04,29.74
2025-05-19,4.41,4.58,29.76,30.29
2025-05-20,5.08,5.16,29.27,29.97
2025-05-21,4.57,4.85,29.84,30.48
2025-05-22,4.88,5.54,29.84,30.46
2025-05-23,4.84,5.75,30.0,30.49
2025-05-24,4.19,5.43,29.96,30.26
2025-05-25,4.68,4.23,29.46,30.13
2025-05-26,4.2,4.89,29.48,29.77
2025-05-27,5.21,5.39,29.5,30.37
2025-05-28,4.68,3.93,30.01,30.49
2025-05-29,4.49,5.14,29.74,30.04
2025-05-30,4.51,4.88,29.56,30.13
2025-05-31,4.57,4.94,29.87,30.48
2025-06-01,5.39,6.97,30.82,30.09
2025-06-02,5.43,6.22,29.29,30.35
2025-06-03,5.94,6.93,28.91,30.14
2025-06-04,6.19,7.33,29.17,30.2
2025-06-05,6.18,7.16,29.14,30.36
2025-06-06,5.91,7.94,29.36,30.42
2025-06-07,6.23,6.5,28.73,29.93
2025-06-08,6.11,7.66,28.77,30.07
2025-06-09,6.2,7.66,29.27,30.14
2025-06-10,6.41,7.49,29.55,30.29
2025-06-11,6.13,6.61,29.26,30.21
2025-06-12,6.63,7.14,29.14,30.61
2025-06-13,5.6,7.51,29.71,30.84
2025-06-14,6.25,7.26,29.6,30.38
2025-06-15,5.6,6.64,28.59,29.74
2025-06-16,5.75,6.93,29.39,30.34
2025-06-17,6.75,6.54,28.59,30.09
2025-06-18,6.22,8.23,31.3,30.06
2025-06-19,7.63,7.68,29.23,30.13
2025-06-20,6.82,8.68,29.49,30.63
2025-06-21,6.67,7.07,28.98,30.19
2025-06-22,5.95,6.35,28.55,29.9
2025-06-23,5.49,6.51,29.39,30.36
2025-06-24,6.2,7.2,28.58,30.98
2025-06-25,6.04,7.14,29.39,30.57
2025-06-26,6.14,6.33,28.68,30.15
2025-06-27,6.62,5.9,28.78,29.94
2025-06-28,6.97,6.57,29.05,30.0
2025-06-29,6.21,8.02,29.21,30.35
2025-06-30,5.48,7.66,29.08,30.13
2025-07-01,5.88,6.94,29.37,30.44
2025-07-02,6.18,6.34,29.73,30.3
2025-07-03,6.16,6.24,29.7,30.81
2025-07-04,5.16,6.32,28.77,29.71
2025-07-05,5.48,7.42,29.31,30.28
2025-07-06,6.55,6.56,29.32,30.06
2025-07-07,4.37,7.99,28.92,30.34
2025-07-08,5.66,7.0,28.5,29.88
2025-07-09,5.87,7.26,28.9,30.13
2025-07-10,5.83,6.9,29.38,30.47
2025-07-11,5.77,6.53,29.17,30.49
2025-07-12,6.05,6.75,29.29,30.29
2025-07-13,6.38,7.21,29.35,29.96
2025-07-14,5.81,6.45,29.7,30.55
2025-07-15,5.85,6.73,29.01,30.39
2025-07-16,5.99,6.48,29.04,30.48
2025-07-17,5.63,6.95,29.13,30.27
2025-07-18,5.36,6.06,29.47,30.34
2025-07-19,5.81,6.86,28.75,30.17
2025-07-20,6.53,6.51,28.52,30.19
2025-07-21,6.54,6.48,29.57,30.67
2025-07-22,5.63,6.29,29.33,30.59
2025-07-23,5.96,6.37,29.1,29.88
2025-07-24,5.77,5.97,29.49,30.28
2025-07-25,4.94,5.58,29.21,30.53
2025-07-26,5.34,7.91,29.92,30.76
2025-07-27,5.4,6.95,29.04,30.65
2025-07-28,5.57,5.62,29.08,30.27
2025-07-29,6.42,6.68,29.35,30.33
2025-07-30,6.52,6.63,28.43,30.1
2025-07-31,5.7,7.26,29.73,30.56
2025-08-01,5.77,6.49,30.01,30.64
2025-08-02,6.25,6.37,29.36,30.5
2025-08-03,5.31,6.32,30.03,31.07
2025-08-04,5.24,6.35,28.92,30.4
2025-08-05,5.54,6.37,28.85,29.81
2025-08-06,5.83,6.46,29.33,30.38
2025-08-07,5.64,6.24,29.22,30.62
2025-08-08,5.6,6.15,29.43,30.96
2025-08-09,5.76,5.45,29.29,30.25
2025-08-10,5.77,6.6,29.5,30.46
2025-08-11,5.66,5.81,29.2,30.48
2025-08-12,6.38,7.29,29.43,30.52
2025-08-13,6.11,7.25,29.38,30.47
2025-08-14,5.9,6.35,29.12,30.58
2025-08-15,6.96,6.26,29.5,30.76
2025-08-16,4.75,4.99,30.27,30.72
2025-08-17,4.15,3.98,29.62,30.59
2025-08-18,4.13,4.81,30.14,30.66
2025-08-19,4.02,4.87,30.17,30.93
2025-08-20,3.73,5.33,30.29,30.86
2025-08-21,4.18,5.59,28.91,30.39
2025-08-22,4.41,4.91,29.97,31.04
2025-08-23,4.53,6.19,29.96,30.56
2025-08-24,3.78,4.14,29.88,30.6
2025-08-25,4.34,4.84,29.94,30.55
2025-08-26,3.82,5.59,29.84,30.48
2025-08-27,3.93,4.67,30.14,30.64
2025-08-28,3.69,4.6,29.44,30.62
