date,equipment_id,equipment_name,build_year,cycle_sec_per_truck,trucks_loaded,work_hours
2023-01-10,WK-20,20#电铲,2012,134.9,519,19.5
2023-01-10,WK-22,22#电铲,2019,123.7,608,20.9
2023-01-10,WK-25,25#电铲,2023,123.6,605,20.8
2023-01-10,WK-28,28#电铲,2016,138.2,498,19.1
2023-01-11,WK-10,10#电铲,2015,137.9,506,19.4
2023-01-11,WK-12,12#电铲,2018,127.4,536,19.0
2023-01-11,WK-15,15#电铲,2020,122.8,562,19.2
2023-01-11,WK-18,18#电铲,2022,117.3,569,18.5
2023-01-11,WK-20,20#电铲,2012,135.5,517,19.5
2023-01-11,WK-22,22#电铲,2019,124.7,603,20.9
2023-01-11,WK-25,25#电铲,2023,125.0,599,20.8
2023-01-11,WK-28,28#电铲,2016,135.9,506,19.1
2023-01-12,WK-10,10#电铲,2015,141.0,495,19.4
2023-01-12,WK-12,12#电铲,2018,128.9,530,19.0
2023-01-12,WK-15,15#电铲,2020,125.7,549,19.2
2023-01-12,WK-18,18#电铲,2022,120.2,555,18.5
2023-01-12,WK-20,20#电铲,2012,138.5,505,19.5
2023-01-12,WK-22,22#电铲,2019,122.9,612,20.9
2023-01-12,WK-25,25#电铲,2023,124.6,600,20.8
2023-01-12,WK-28,28#电铲,2016,136.8,503,19.1
2023-01-13,WK-10,10#电铲,2015,138.1,506,19.4
2023-01-13,WK-12,12#电铲,2018,126.7,539,19.0
2023-01-13,WK-15,15#电铲,2020,124.5,554,19.2
2023-01-13,WK-18,18#电铲,2022,118.0,565,18.5
2023-01-13,WK-20,20#电铲,2012,137.1,511,19.5
2023-01-13,WK-22,22#电铲,2019,119.6,629,20.9
2023-01-13,WK-25,25#电铲,2023,123.5,606,20.8
2023-01-13,WK-28,28#电铲,2016,137.2,501,19.1
2023-01-14,WK-10,10#电铲,2015,138.8,503,19.4
2023-01-14,WK-12,12#电铲,2018,125.1,546,19.0
2023-01-14,WK-15,15#电铲,2020,124.3,555,19.2
2023-01-14,WK-18,18#电铲,2022,119.2,560,18.5
2023-01-14,WK-20,20#电铲,2012,139.9,500,19.5
2023-01-14,WK-22,22#电铲,2019,122.2,615,20.9
2023-01-14,WK-25,25#电铲,2023,123.9,604,20.8
2023-01-14,WK-28,28#电铲,2016,136.6,503,19.1
2023-01-15,WK-10,10#电铲,2015,139.0,502,19.4
2023-01-15,WK-12,12#电铲,2018,128.1,533,19.0
2023-01-15,WK-15,15#电铲,2020,124.4,554,19.2
2023-01-15,WK-18,18#电铲,2022,120.8,552,18.5
2023-01-15,WK-20,20#电铲,2012,139.4,502,19.5
2023-01-15,WK-22,22#电铲,2019,121.4,620,20.9
2023-01-15,WK-25,25#电铲,2023,120.8,619,20.8
2023-01-15,WK-28,28#电铲,2016,135.7,507,19.1
2023-01-16,WK-10,10#电铲,2015,138.7,503,19.4
2023-01-16,WK-12,12#电铲,2018,124.7,547,19.0
2023-01-16,WK-15,15#电铲,2020,126.8,544,19.2
2023-01-16,WK-18,18#电铲,2022,118.8,561,18.5
2023-01-16,WK-20,20#电铲,2012,139.6,502,19.5
2023-01-16,WK-22,22#电铲,2019,121.2,620,20.9
2023-01-16,WK-25,25#电铲,2023,118.0,634,20.8
2023-01-16,WK-28,28#电铲,2016,136.5,504,19.1
2023-01-17,WK-10,10#电铲,2015,136.5,512,19.4
2023-01-17,WK-12,12#电铲,2018,123.1,555,19.0
2023-01-17,WK-15,15#电铲,2020,125.4,550,19.2
2023-01-17,WK-18,18#电铲,2022,118.7,562,18.5
2023-01-17,WK-20,20#电铲,2012,140.3,499,19.5
2023-01-17,WK-22,22#电铲,2019,125.8,598,20.9
2023-01-17,WK-25,25#电铲,2023,120.1,623,20.8
2023-01-17,WK-28,28#电铲,2016,138.7,496,19.1
2023-01-18,WK-10,10#电铲,2015,138.6,504,19.4
2023-01-18,WK-12,12#电铲,2018,124.7,548,19.0
2023-01-18,WK-15,15#电铲,2020,125.0,552,19.2
2023-01-18,WK-18,18#电铲,2022,119.6,558,18.5
2023-01-18,WK-20,20#电铲,2012,140.0,500,19.5
2023-01-18,WK-22,22#电铲,2019,124.3,605,20.9
2023-01-18,WK-25,25#电铲,2023,120.7,620,20.8
2023-01-18,WK-28,28#电铲,2016,140.1,491,19.1
2023-01-19,WK-10,10#电铲,2015,138.3,505,19.4
2023-01-19,WK-12,12#电铲,2018,122.3,558,19.0
2023-01-19,WK-15,15#电铲,2020,124.3,555,19.2
2023-01-19,WK-18,18#电铲,2022,119.7,557,18.5
2023-01-19,WK-20,20#电铲,2012,139.4,502,19.5
2023-01-19,WK-22,22#电铲,2019,124.4,604,20.9
2023-01-19,WK-25,25#电铲,2023,121.9,614,20.8
2023-01-19,WK-28,28#电铲,2016,139.9,491,19.1
2023-01-20,WK-10,10#电铲,2015,140.1,498,19.4
2023-01-20,WK-12,12#电铲,2018,125.9,542,19.0
2023-01-20,WK-15,15#电铲,2020,124.2,555,19.2
2023-01-20,WK-18,18#电铲,2022,120.6,553,18.5
2023-01-20,WK-20,20#电铲,2012,141.4,495,19.5
2023-01-20,WK-22,22#电铲,2019,123.0,612,20.9
2023-01-20,WK-25,25#电铲,2023,122.6,610,20.8
2023-01-20,WK-28,28#电铲,2016,138.5,497,19.1
2023-01-21,WK-10,10#电铲,2015,138.7,503,19.4
2023-01-21,WK-12,12#电铲,2018,126.4,540,19.0
2023-01-21,WK-15,15#电铲,2020,124.6,554,19.2
2023-01-21,WK-18,18#电铲,2022,118.9,561,18.5
2023-01-21,WK-20,20#电铲,2012,138.3,506,19.5
2023-01-21,WK-22,22#电铲,2019,126.1,596,20.9
2023-01-21,WK-25,25#电铲,2023,122.2,612,20.8
2023-01-21,WK-28,28#电铲,2016,137.8,499,19.1
2023-01-22,WK-10,10#电铲,2015,140.2,498,19.4
2023-01-22,WK-12,12#电铲,2018,127.1,537,19.0
2023-01-22,WK-15,15#电铲,2020,126.4,546,19.2
2023-01-22,WK-18,18#电铲,2022,119.1,560,18.5
2023-01-22,WK-20,20#电铲,2012,139.9,500,19.5
2023-01-22,WK-22,22#电铲,2019,126.1,596,20.9
2023-01-22,WK-25,25#电铲,2023,120.0,623,20.8
2023-01-22,WK-28,28#电铲,2016,139.7,492,19.1
2023-01-23,WK-10,10#电铲,2015,140.3,498,19.4
2023-01-23,WK-12,12#电铲,2018,122.4,558,19.0
2023-01-23,WK-15,15#电铲,2020,127.0,543,19.2
2023-01-23,WK-18,18#电铲,2022,120.7,553,18.5
2023-01-23,WK-20,20#电铲,2012,138.7,505,19.5
2023-01-23,WK-22,22#电铲,2019,125.2,601,20.9
2023-01-23,WK-25,25#电铲,2023,122.7,610,20.8
2023-01-23,WK-28,28#电铲,2016,141.7,485,19.1
2023-01-24,WK-10,10#电铲,2015,139.9,499,19.4
2023-01-24,WK-12,12#电铲,2018,122.3,558,19.0
2023-01-24,WK-15,15#电铲,2020,126.2,547,19.2
2023-01-24,WK-18,18#电铲,2022,120.4,554,18.5
2023-01-24,WK-20,20#电铲,2012,139.9,500,19.5
2023-01-24,WK-22,22#电铲,2019,123.4,609,20.9
2023-01-24,WK-25,25#电铲,2023,122.5,611,20.8
2023-01-24,WK-28,28#电铲,2016,140.7,489,19.1
2023-01-25,WK-10,10#电铲,2015,140.8,496,19.4
2023-01-25,WK-12,12#电铲,2018,124.3,549,19.0
2023-01-25,WK-15,15#电铲,2020,125.4,550,19.2
2023-01-25,WK-18,18#电铲,2022,122.2,546,18.5
2023-01-25,WK-20,20#电铲,2012,137.6,509,19.5
2023-01-25,WK-22,22#电铲,2019,123.6,608,20.9
2023-01-25,WK-25,25#电铲,2023,121.6,615,20.8
2023-01-25,WK-28,28#电铲,2016,141.3,487,19.1
2023-01-26,WK-10,10#电铲,2015,138.3,505,19.4
2023-01-26,WK-12,12#电铲,2018,126.7,539,19.0
2023-01-26,WK-15,15#电铲,2020,123.9,557,19.2
2023-01-26,WK-18,18#电铲,2022,124.3,537,18.5
2023-01-26,WK-20,20#电铲,2012,140.5,499,19.5
2023-01-26,WK-22,22#电铲,2019,125.1,601,20.9
2023-01-26,WK-25,25#电铲,2023,121.2,617,20.8
2023-01-26,WK-28,28#电铲,2016,140.1,491,19.1
2023-01-27,WK-10,10#电铲,2015,138.3,505,19.4
2023-01-27,WK-12,12#电铲,2018,126.6,539,19.0
2023-01-27,WK-15,15#电铲,2020,123.7,557,19.2
2023-01-27,WK-18,18#电铲,2022,122.3,545,18.5
2023-01-27,WK-20,20#电铲,2012,142.8,490,19.5
2023-01-27,WK-22,22#电铲,2019,124.7,603,20.9
2023-01-27,WK-25,25#电铲,2023,121.6,615,20.8
2023-01-27,WK-28,28#电铲,2016,139.0,495,19.1
2023-01-28,WK-10,10#电铲,2015,139.0,502,19.4
2023-01-28,WK-12,12#电铲,2018,126.6,539,19.0
2023-01-28,WK-15,15#电铲,2020,124.0,556,19.2
2023-01-28,WK-18,18#电铲,2022,120.4,554,18.5
2023-01-28,WK-20,20#电铲,2012,141.6,494,19.5
2023-01-28,WK-22,22#电铲,2019,125.6,599,20.9
2023-01-28,WK-25,25#电铲,2023,119.6,625,20.8
2023-01-28,WK-28,28#电铲,2016,140.6,489,19.1
2023-01-29,WK-10,10#电铲,2015,138.4,504,19.4
2023-01-29,WK-12,12#电铲,2018,129.1,529,19.0
2023-01-29,WK-15,15#电铲,2020,126.4,546,19.2
2023-01-29,WK-18,18#电铲,2022,120.3,554,18.5
2023-01-29,WK-20,20#电铲,2012,141.8,494,19.5
2023-01-29,WK-22,22#电铲,2019,126.8,593,20.9
2023-01-29,WK-25,25#电铲,2023,121.9,614,20.8
2023-01-29,WK-28,28#电铲,2016,139.0,495,19.1
2023-01-30,WK-10,10#电铲,2015,137.6,507,19.4
2023-01-30,WK-12,12#电铲,2018,125.1,546,19.0
2023-01-30,WK-15,15#电铲,2020,126.4,545,19.2
2023-01-30,WK-18,18#电铲,2022,121.9,547,18.5
2023-01-30,WK-20,20#电铲,2012,137.6,509,19.5
2023-01-30,WK-22,22#电铲,2019,125.1,601,20.9
2023-01-30,WK-25,25#电铲,2023,123.2,607,20.8
2023-01-30,WK-28,28#电铲,2016,139.2,494,19.1
2023-01-31,WK-10,10#电铲,2015,138.1,505,19.4
2023-01-31,WK-12,12#电铲,2018,126.1,541,19.0
2023-01-31,WK-15,15#电铲,2020,125.1,552,19.2
2023-01-31,WK-18,18#电铲,2022,119.7,557,18.5
2023-01-31,WK-20,20#电铲,2012,139.2,503,19.5
2023-01-31,WK-22,22#电铲,2019,126.2,596,20.9
2023-01-31,WK-25,25#电铲,2023,121.4,616,20.8
2023-01-31,WK-28,28#电铲,2016,140.6,489,19.1
2023-02-01,WK-10,10#电铲,2015,139.4,501,19.4
2023-02-01,WK-12,12#电铲,2018,123.1,555,19.0
2023-02-01,WK-15,15#电铲,2020,127.1,543,19.2
2023-02-01,WK-18,18#电铲,2022,123.5,540,18.5
2023-02-01,WK-20,20#电铲,2012,144.2,485,19.5
2023-02-01,WK-22,22#电铲,2019,125.5,599,20.9
2023-02-01,WK-25,25#电铲,2023,122.1,613,20.8
2023-02-01,WK-28,28#电铲,2016,139.6,493,19.1
2023-02-02,WK-10,10#电铲,2015,137.1,509,19.4
2023-02-02,WK-12,12#电铲,2018,124.8,547,19.0
2023-02-02,WK-15,15#电铲,2020,124.8,553,19.2
2023-02-02,WK-18,18#电铲,2022,124.3,537,18.5
2023-02-02,WK-20,20#电铲,2012,140.6,498,19.5
2023-02-02,WK-22,22#电铲,2019,125.2,601,20.9
2023-02-02,WK-25,25#电铲,2023,124.5,601,20.8
2023-02-02,WK-28,28#电铲,2016,142.4,483,19.1
2023-02-03,WK-10,10#电铲,2015,139.1,502,19.4
2023-02-03,WK-12,12#电铲,2018,126.3,541,19.0
2023-02-03,WK-15,15#电铲,2020,127.9,539,19.2
2023-02-03,WK-18,18#电铲,2022,119.7,557,18.5
2023-02-03,WK-20,20#电铲,2012,141.1,496,19.5
2023-02-03,WK-22,22#电铲,2019,125.3,600,20.9
2023-02-03,WK-25,25#电铲,2023,124.5,601,20.8
2023-02-03,WK-28,28#电铲,2016,142.5,482,19.1
2023-02-04,WK-10,10#电铲,2015,142.2,491,19.4
2023-02-04,WK-12,12#电铲,2018,124.1,550,19.0
2023-02-04,WK-15,15#电铲,2020,125.2,551,19.2
2023-02-04,WK-18,18#电铲,2022,120.5,553,18.5
2023-02-04,WK-20,20#电铲,2012,138.3,506,19.5
2023-02-04,WK-22,22#电铲,2019,126.7,594,20.9
2023-02-04,WK-25,25#电铲,2023,126.0,594,20.8
2023-02-04,WK-28,28#电铲,2016,142.8,482,19.1
2023-02-05,WK-10,10#电铲,2015,140.1,498,19.4
2023-02-05,WK-12,12#电铲,2018,124.0,551,19.0
2023-02-05,WK-15,15#电铲,2020,126.9,543,19.2
2023-02-05,WK-18,18#电铲,2022,121.3,550,18.5
2023-02-05,WK-20,20#电铲,2012,140.8,497,19.5
2023-02-05,WK-22,22#电铲,2019,125.0,602,20.9
2023-02-05,WK-25,25#电铲,2023,125.2,598,20.8
2023-02-05,WK-28,28#电铲,2016,141.6,486,19.1
2023-02-06,WK-10,10#电铲,2015,139.4,501,19.4
2023-02-06,WK-12,12#电铲,2018,127.8,534,19.0
2023-02-06,WK-15,15#电铲,2020,126.9,543,19.2
2023-02-06,WK-18,18#电铲,2022,122.4,545,18.5
2023-02-06,WK-20,20#电铲,2012,143.2,489,19.5
2023-02-06,WK-22,22#电铲,2019,123.8,607,20.9
2023-02-06,WK-25,25#电铲,2023,122.9,609,20.8
2023-02-06,WK-28,28#电铲,2016,140.7,489,19.1
2023-02-07,WK-10,10#电铲,2015,143.2,487,19.4
2023-02-07,WK-12,12#电铲,2018,124.6,548,19.0
2023-02-07,WK-15,15#电铲,2020,127.3,542,19.2
2023-02-07,WK-18,18#电铲,2022,121.9,547,18.5
2023-02-07,WK-20,20#电铲,2012,140.9,497,19.5
2023-02-07,WK-22,22#电铲,2019,126.8,593,20.9
2023-02-07,WK-25,25#电铲,2023,123.5,606,20.8
2023-02-07,WK-28,28#电铲,2016,141.0,488,19.1
2023-02-08,WK-10,10#电铲,2015,141.2,495,19.4
2023-02-08,WK-12,12#电铲,2018,127.0,538,19.0
2023-02-08,WK-15,15#电铲,2020,128.8,535,19.2
2023-02-08,WK-18,18#电铲,2022,121.0,551,18.5
2023-02-08,WK-20,20#电铲,2012,139.6,501,19.5
2023-02-08,WK-22,22#电铲,2019,127.1,592,20.9
2023-02-08,WK-25,25#电铲,2023,123.4,606,20.8
2023-02-08,WK-28,28#电铲,2016,140.2,490,19.1
2023-02-09,WK-10,10#电铲,2015,139.1,502,19.4
2023-02-09,WK-12,12#电铲,2018,127.8,534,19.0
2023-02-09,WK-15,15#电铲,2020,126.3,546,19.2
2023-02-09,WK-18,18#电铲,2022,121.5,549,18.5
2023-02-09,WK-20,20#电铲,2012,139.0,504,19.5
2023-02-09,WK-22,22#电铲,2019,125.2,601,20.9
2023-02-09,WK-25,25#电铲,2023,122.3,612,20.8
2023-02-09,WK-28,28#电铲,2016,141.5,486,19.1
2023-02-10,WK-10,10#电铲,2015,142.8,489,19.4
2023-02-10,WK-12,12#电铲,2018,125.6,544,19.0
2023-02-10,WK-15,15#电铲,2020,126.7,545,19.2
2023-02-10,WK-18,18#电铲,2022,119.0,560,18.5
2023-02-10,WK-20,20#电铲,2012,139.5,502,19.5
2023-02-10,WK-22,22#电铲,2019,124.6,604,20.9
2023-02-10,WK-25,25#电铲,2023,122.0,613,20.8
2023-02-10,WK-28,28#电铲,2016,143.1,480,19.1
2023-02-11,WK-10,10#电铲,2015,139.0,502,19.4
2023-02-11,WK-12,12#电铲,2018,124.6,548,19.0
2023-02-11,WK-15,15#电铲,2020,126.2,547,19.2
2023-02-11,WK-18,18#电铲,2022,121.7,548,18.5
2023-02-11,WK-20,20#电铲,2012,137.6,509,19.5
2023-02-11,WK-22,22#电铲,2019,125.4,600,20.9
2023-02-11,WK-25,25#电铲,2023,123.0,608,20.8
2023-02-11,WK-28,28#电铲,2016,139.9,491,19.1
2023-02-12,WK-10,10#电铲,2015,142.8,489,19.4
2023-02-12,WK-12,12#电铲,2018,125.0,546,19.0
2023-02-12,WK-15,15#电铲,2020,128.0,539,19.2
2023-02-12,WK-18,18#电铲,2022,117.6,567,18.5
2023-02-12,WK-20,20#电铲,2012,136.9,512,19.5
2023-02-12,WK-22,22#电铲,2019,124.6,603,20.9
2023-02-12,WK-25,25#电铲,2023,121.4,616,20.8
2023-02-12,WK-28,28#电铲,2016,139.7,492,19.1
2023-02-13,WK-10,10#电铲,2015,140.6,497,19.4
2023-02-13,WK-12,12#电铲,2018,125.4,544,19.0
2023-02-13,WK-15,15#电铲,2020,127.9,539,19.2
2023-02-13,WK-18,18#电铲,2022,120.1,556,18.5
2023-02-13,WK-20,20#电铲,2012,138.1,507,19.5
2023-02-13,WK-22,22#电铲,2019,126.5,595,20.9
2023-02-13,WK-25,25#电铲,2023,124.3,602,20.8
2023-02-13,WK-28,28#电铲,2016,142.4,483,19.1
2023-02-14,WK-10,10#电铲,2015,140.9,495,19.4
2023-02-14,WK-12,12#电铲,2018,126.3,540,19.0
2023-02-14,WK-15,15#电铲,2020,125.7,549,19.2
2023-02-14,WK-18,18#电铲,2022,122.3,545,18.5
2023-02-14,WK-20,20#电铲,2012,141.1,496,19.5
2023-02-14,WK-22,22#电铲,2019,126.9,592,20.9
2023-02-14,WK-25,25#电铲,2023,120.5,621,20.8
2023-02-14,WK-28,28#电铲,2016,139.7,492,19.1
2023-02-15,WK-10,10#电铲,2015,140.6,496,19.4
2023-02-15,WK-12,12#电铲,2018,127.0,538,19.0
2023-02-15,WK-15,15#电铲,2020,122.6,563,19.2
2023-02-15,WK-18,18#电铲,2022,124.3,536,18.5
2023-02-15,WK-20,20#电铲,2012,140.2,499,19.5
2023-02-15,WK-22,22#电铲,2019,126.5,595,20.9
2023-02-15,WK-25,25#电铲,2023,124.0,604,20.8
2023-02-15,WK-28,28#电铲,2016,139.4,493,19.1
2023-02-16,WK-10,10#电铲,2015,139.5,500,19.4
2023-02-16,WK-12,12#电铲,2018,125.0,546,19.0
2023-02-16,WK-15,15#电铲,2020,124.4,555,19.2
2023-02-16,WK-18,18#电铲,2022,122.1,546,18.5
2023-02-16,WK-20,20#电铲,2012,140.2,499,19.5
2023-02-16,WK-22,22#电铲,2019,124.2,605,20.9
2023-02-16,WK-25,25#电铲,2023,124.2,602,20.8
2023-02-16,WK-28,28#电铲,2016,140.9,488,19.1
2023-02-17,WK-10,10#电铲,2015,140.1,498,19.4
2023-02-17,WK-12,12#电铲,2018,125.1,546,19.0
2023-02-17,WK-15,15#电铲,2020,127.3,542,19.2
2023-02-17,WK-18,18#电铲,2022,124.6,535,18.5
2023-02-17,WK-20,20#电铲,2012,139.8,501,19.5
2023-02-17,WK-22,22#电铲,2019,122.5,614,20.9
2023-02-17,WK-25,25#电铲,2023,123.7,605,20.8
2023-02-17,WK-28,28#电铲,2016,139.0,495,19.1
2023-02-18,WK-10,10#电铲,2015,141.0,495,19.4
2023-02-18,WK-12,12#电铲,2018,127.0,538,19.0
2023-02-18,WK-15,15#电铲,2020,129.1,534,19.2
2023-02-18,WK-18,18#电铲,2022,123.3,541,18.5
2023-02-18,WK-20,20#电铲,2012,141.2,496,19.5
2023-02-18,WK-22,22#电铲,2019,125.1,601,20.9
2023-02-18,WK-25,25#电铲,2023,127.9,585,20.8
2023-02-18,WK-28,28#电铲,2016,140.0,491,19.1
2023-02-19,WK-10,10#电铲,2015,139.3,501,19.4
2023-02-19,WK-12,12#电铲,2018,127.4,536,19.0
2023-02-19,WK-15,15#电铲,2020,126.7,545,19.2
2023-02-19,WK-18,18#电铲,2022,123.3,541,18.5
2023-02-19,WK-20,20#电铲,2012,140.6,498,19.5
2023-02-19,WK-22,22#电铲,2019,126.3,596,20.9
2023-02-19,WK-25,25#电铲,2023,126.8,590,20.8
2023-02-19,WK-28,28#电铲,2016,138.7,496,19.1
2023-02-20,WK-10,10#电铲,2015,142.8,489,19.4
2023-02-20,WK-12,12#电铲,2018,126.5,540,19.0
2023-02-20,WK-15,15#电铲,2020,125.6,549,19.2
2023-02-20,WK-18,18#电铲,2022,123.2,541,18.5
2023-02-20,WK-20,20#电铲,2012,142.9,490,19.5
2023-02-20,WK-22,22#电铲,2019,125.4,600,20.9
2023-02-20,WK-25,25#电铲,2023,125.6,596,20.8
2023-02-20,WK-28,28#电铲,2016,140.7,489,19.1
2023-02-21,WK-10,10#电铲,2015,143.3,487,19.4
2023-02-21,WK-12,12#电铲,2018,127.7,535,19.0
2023-02-21,WK-15,15#电铲,2020,127.7,540,19.2
2023-02-21,WK-18,18#电铲,2022,122.3,545,18.5
2023-02-21,WK-20,20#电铲,2012,142.8,490,19.5
2023-02-21,WK-22,22#电铲,2019,124.2,605,20.9
2023-02-21,WK-25,25#电铲,2023,123.5,606,20.8
2023-02-21,WK-28,28#电铲,2016,140.5,490,19.1
2023-02-22,WK-10,10#电铲,2015,143.7,486,19.4
2023-02-22,WK-12,12#电铲,2018,126.7,539,19.0
2023-02-22,WK-15,15#电铲,2020,125.9,548,19.2
2023-02-22,WK-18,18#电铲,2022,123.4,541,18.5
2023-02-22,WK-20,20#电铲,2012,141.6,494,19.5
2023-02-22,WK-22,22#电铲,2019,126.1,596,20.9
2023-02-22,WK-25,25#电铲,2023,122.7,610,20.8
2023-02-22,WK-28,28#电铲,2016,140.9,488,19.1
2023-02-23,WK-10,10#电铲,2015,143.1,488,19.4
2023-02-23,WK-12,12#电铲,2018,128.0,534,19.0
2023-02-23,WK-15,15#电铲,2020,126.7,545,19.2
2023-02-23,WK-18,18#电铲,2022,123.1,542,18.5
2023-02-23,WK-20,20#电铲,2012,141.2,496,19.5
2023-02-23,WK-22,22#电铲,2019,124.4,604,20.9
2023-02-23,WK-25,25#电铲,2023,125.3,597,20.8
2023-02-23,WK-28,28#电铲,2016,143.2,480,19.1
2023-02-24,WK-10,10#电铲,2015,140.6,497,19.4
2023-02-24,WK-12,12#电铲,2018,128.6,531,19.0
2023-02-24,WK-15,15#电铲,2020,126.8,544,19.2
2023-02-24,WK-18,18#电铲,2022,121.3,550,18.5
2023-02-24,WK-20,20#电铲,2012,140.6,498,19.5
2023-02-24,WK-22,22#电铲,2019,125.8,598,20.9
2023-02-24,WK-25,25#电铲,2023,125.9,594,20.8
2023-02-24,WK-28,28#电铲,2016,143.0,481,19.1
2023-02-25,WK-10,10#电铲,2015,179.6,195,9.8
2023-02-25,WK-12,12#电铲,2018,125.1,546,19.0
2023-02-25,WK-15,15#电铲,2020,128.6,536,19.2
2023-02-25,WK-18,18#电铲,2022,122.5,545,18.5
2023-02-25,WK-20,20#电铲,2012,140.1,500,19.5
2023-02-25,WK-22,22#电铲,2019,126.8,593,20.9
2023-02-25,WK-25,25#电铲,2023,124.0,603,20.8
2023-02-25,WK-28,28#电铲,2016,140.9,488,19.1
