date,block_id,ore_tonnage_wt,loss_rate_pct,dilution_rate_pct,model_grade_pct,actual_grade_pct,grade_deviation_pct,anomaly_flag,anomaly_reason
2023-09-21,B0030,8.51,6.05,3.58,2.628,2.647,0.019,0,
2023-09-23,B0031,14.38,7.24,5.52,2.833,2.685,-0.149,0,
2023-09-27,B0032,18.62,6.07,5.21,2.776,2.614,-0.163,0,
2023-10-06,B0033,8.19,5.23,5.17,2.778,2.632,-0.146,0,
2023-10-21,B0034,18.38,6.7,5.89,2.7,2.476,-0.224,0,
2023-10-24,B0035,17.3,6.29,5.67,2.753,2.652,-0.101,0,
2023-10-31,B0036,8.55,6.25,5.14,2.666,2.564,-0.103,0,
2023-11-09,B0037,9.72,6.12,6.34,2.598,2.434,-0.164,0,
2023-11-19,B0038,14.49,6.54,6.81,2.687,2.539,-0.148,0,
2023-11-22,B0039,17.21,5.96,8.89,2.64,2.297,-0.344,1,贫化率异常：废石混入/边坡塌落
2023-12-06,B0040,18.27,6.1,5.65,2.554,2.392,-0.162,0,
2023-12-10,B0041,12.82,6.84,5.98,2.674,2.54,-0.134,0,
2023-12-24,B0042,18.74,5.43,5.13,2.574,2.426,-0.148,0,
2023-12-27,B0043,17.09,6.86,5.5,2.558,2.376,-0.182,0,
2024-01-17,B0044,11.96,6.38,5.51,2.608,2.464,-0.144,0,
2024-01-21,B0045,8.43,5.58,5.39,2.671,2.495,-0.177,0,
2024-01-31,B0046,14.57,4.53,4.84,2.582,2.431,-0.151,0,
2024-02-02,B0047,14.26,6.41,5.21,2.642,2.487,-0.155,0,
2024-02-12,B0048,13.04,5.92,9.28,2.806,2.253,-0.553,1,贫化率异常：废石混入/边坡塌落
2024-02-18,B0049,8.95,5.85,4.1,2.664,2.542,-0.122,0,
2024-03-17,B0050,11.48,6.27,5.06,2.712,2.584,-0.128,0,
2024-03-20,B0051,13.41,5.85,5.31,2.653,2.416,-0.238,0,
2024-03-29,B0052,15.71,4.75,4.82,2.652,2.529,-0.123,0,
2024-04-06,B0053,17.37,5.59,6.44,2.861,2.772,-0.089,0,
2024-04-14,B0054,15.72,5.75,4.5,2.739,2.611,-0.128,0,
2024-04-16,B0055,19.98,7.14,4.31,2.916,2.783,-0.133,0,
2024-04-17,B0056,17.31,5.92,5.49,2.849,2.687,-0.162,0,
2024-05-01,B0057,8.29,10.5,5.11,2.699,2.504,-0.195,1,损失率异常：矿岩分界欠挖/底板残留
2024-05-12,B0058,11.5,6.09,5.68,2.986,2.812,-0.174,0,
2024-05-20,B0059,11.48,8.87,5.32,2.864,2.68,-0.184,1,损失率异常：矿岩分界欠挖/底板残留
2024-05-21,B0060,10.57,6.48,5.8,2.986,2.724,-0.262,0,
2024-06-04,B0061,8.45,6.89,4.12,2.976,2.874,-0.102,0,
2024-06-07,B0062,17.94,6.69,5.12,2.99,2.844,-0.147,0,
2024-06-13,B0063,17.81,5.28,6.19,2.904,2.752,-0.152,0,
2024-06-15,B0064,13.96,5.39,4.74,3.179,2.988,-0.19,0,
2024-06-17,B0065,14.93,7.29,4.8,3.004,2.905,-0.098,0,
2024-07-10,B0066,19.61,6.55,4.61,3.167,3.025,-0.141,0,
2024-07-19,B0067,11.7,5.62,3.75,3.066,3.003,-0.063,0,
2024-07-22,B0068,10.22,5.73,5.37,3.15,2.958,-0.192,0,
2024-08-16,B0069,8.77,6.13,5.13,3.086,2.938,-0.148,0,
2024-08-18,B0070,16.15,9.4,5.24,3.041,2.9,-0.141,1,损失率异常：矿岩分界欠挖/底板残留
2024-08-20,B0071,11.19,5.95,9.5,3.123,2.492,-0.631,1,贫化率异常：废石混入/边坡塌落
2024-08-24,B0072,8.36,5.86,4.82,3.047,2.885,-0.162,0,
2024-08-29,B0073,16.09,6.69,4.34,3.29,3.146,-0.143,0,
2024-09-16,B0074,9.21,11.11,4.82,3.288,3.119,-0.168,1,损失率异常：矿岩分界欠挖/底板残留
2024-09-24,B0075,19.04,4.34,5.39,3.064,2.799,-0.265,0,
2024-09-30,B0076,12.67,5.82,6.01,3.053,2.904,-0.148,0,
2024-10-02,B0077,10.04,5.36,5.76,2.987,2.865,-0.122,0,
2024-10-03,B0078,13.59,5.95,6.23,2.995,2.799,-0.196,0,
2024-10-06,B0079,19.23,5.56,5.33,3.089,2.925,-0.164,0,
2024-11-06,B0080,12.06,5.42,5.59,3.035,2.812,-0.223,0,
2024-11-17,B0081,17.05,7.05,6.25,2.874,2.736,-0.138,0,
2024-11-21,B0082,8.03,4.9,4.67,2.974,2.844,-0.13,0,
2024-11-24,B0083,19.45,11.94,4.82,2.886,2.72,-0.166,1,损失率异常：矿岩分界欠挖/底板残留
2024-11-29,B0084,14.3,4.93,5.4,2.872,2.716,-0.156,0,
2024-12-05,B0085,17.66,6.95,5.14,2.694,2.525,-0.169,0,
2024-12-15,B0086,19.16,4.9,3.26,2.866,2.741,-0.125,0,
2024-12-17,B0087,16.68,5.27,6.13,2.761,2.531,-0.23,0,
2025-01-01,B0088,19.7,4.92,5.07,2.664,2.55,-0.114,0,
2025-01-22,B0089,15.05,5.47,4.91,2.816,2.634,-0.182,0,
2025-01-28,B0090,13.86,6.15,5.17,2.689,2.605,-0.084,0,
2025-01-31,B0091,12.27,5.35,5.66,2.592,2.421,-0.171,0,
2025-02-07,B0092,16.99,6.3,4.58,2.548,2.412,-0.136,0,
2025-02-08,B0093,10.74,4.88,4.66,2.761,2.602,-0.159,0,
2025-02-09,B0094,11.7,5.67,4.78,2.732,2.603,-0.129,0,
2025-02-19,B0095,18.82,7.96,5.05,2.487,2.314,-0.173,1,损失率异常：矿岩分界欠挖/底板残留
2025-02-20,B0096,19.94,5.73,4.87,2.665,2.507,-0.157,0,
2025-03-13,B0097,11.79,5.16,5.87,2.556,2.463,-0.093,0,
2025-03-16,B0098,10.3,4.73,5.34,2.667,2.566,-0.101,0,
2025-03-20,B0099,14.47,6.1,9.67,2.659,2.083,-0.576,1,贫化率异常：废石混入/边坡塌落
2025-03-24,B0100,19.48,6.13,5.14,2.661,2.534,-0.127,0,
2025-03-31,B0101,10.13,5.9,5.0,2.57,2.483,-0.088,0,
2025-04-02,B0102,16.59,7.73,6.16,2.569,2.366,-0.203,0,
2025-04-08,B0103,8.59,5.68,5.31,2.635,2.457,-0.177,0,
2025-04-10,B0104,14.67,5.5,4.66,2.669,2.54,-0.129,0,
2025-04-11,B0105,19.83,5.79,5.53,2.756,2.628,-0.128,0,
2025-04-16,B0106,14.02,5.19,4.83,2.761,2.594,-0.166,0,
2025-05-07,B0107,19.05,4.57,4.94,2.589,2.463,-0.127,0,
2025-05-16,B0108,13.13,5.8,3.85,2.799,2.728,-0.071,0,
2025-05-25,B0109,12.98,5.13,4.76,2.727,2.608,-0.119,0,
2025-06-09,B0110,12.45,5.42,4.95,2.755,2.63,-0.125,0,
2025-06-18,B0111,18.64,5.05,6.17,2.63,2.51,-0.12,0,
2025-06-19,B0112,11.47,5.68,4.99,2.766,2.649,-0.118,0,
2025-06-20,B0113,18.11,5.35,4.57,2.703,2.537,-0.165,0,
2025-06-29,B0114,9.03,5.53,4.68,2.887,2.743,-0.144,0,
2025-07-15,B0115,9.07,5.71,5.1,2.963,2.861,-0.102,0,
2025-07-25,B0116,14.23,10.74,6.51,3.012,2.817,-0.196,1,损失率异常：矿岩分界欠挖/底板残留
2025-07-28,B0117,18.85,5.78,5.62,3.011,2.854,-0.157,0,
2025-08-04,B0118,13.15,5.7,4.68,2.914,2.821,-0.093,0,
2025-08-10,B0119,8.32,5.07,5.48,3.149,2.971,-0.178,0,
2025-08-18,B0120,15.43,4.94,5.52,3.106,2.958,-0.148,0,
2025-08-25,B0121,8.96,4.6,5.36,3.084,2.891,-0.192,0,
2025-09-02,B0122,10.52,4.59,5.13,3.009,2.882,-0.127,0,
2025-09-09,B0123,8.8,6.92,4.54,3.055,2.945,-0.109,0,
2025-09-10,B0124,15.95,5.63,5.39,3.141,2.957,-0.184,0,
2025-09-13,B0125,18.66,7.59,5.29,3.075,2.878,-0.197,0,
2025-09-24,B0126,20.0,6.28,4.56,3.093,2.954,-0.138,0,
2025-10-05,B0127,8.83,5.16,5.57,2.978,2.82,-0.158,0,
2025-10-08,B0128,13.31,6.29,5.41,2.888,2.756,-0.132,0,
2025-10-14,B0129,16.67,5.75,7.83,3.013,2.617,-0.396,1,贫化率异常：废石混入/边坡塌落
2025-10-18,B0130,9.77,5.84,5.49,3.223,2.968,-0.255,0,
2025-10-23,B0131,17.49,5.8,4.71,3.1,2.947,-0.152,0,
2025-11-23,B0132,13.68,6.0,4.84,3.086,2.961,-0.125,0,
2025-11-27,B0133,10.33,4.86,6.75,3.065,2.915,-0.15,0,
2025-11-28,B0134,9.48,4.22,4.66,2.943,2.817,-0.125,0,
2025-11-30,B0135,16.63,6.45,4.64,2.859,2.738,-0.121,0,
2025-12-09,B0136,14.39,5.61,5.23,3.142,2.927,-0.216,0,
2025-12-11,B0137,18.09,6.19,4.89,3.01,2.79,-0.219,0,
2025-12-16,B0138,19.11,5.76,4.85,3.014,2.902,-0.111,0,
2026-01-01,B0139,15.06,6.99,4.44,2.895,2.737,-0.158,0,
2026-01-05,B0140,12.16,5.74,5.39,2.963,2.799,-0.164,0,
2026-01-22,B0141,13.93,6.13,4.47,2.893,2.746,-0.148,0,
2026-02-07,B0142,14.71,4.56,5.26,2.793,2.629,-0.164,0,
2026-02-18,B0143,16.39,5.22,4.25,2.852,2.759,-0.093,0,
2026-02-24,B0144,19.5,6.29,4.72,2.677,2.631,-0.046,0,
2026-02-28,B0145,19.58,5.22,5.18,2.847,2.623,-0.224,0,
2026-03-12,B0146,14.26,5.92,4.67,2.727,2.589,-0.138,0,
2026-03-14,B0147,16.03,4.46,4.59,2.713,2.611,-0.101,0,
2026-03-19,B0148,11.12,4.99,5.85,2.721,2.52,-0.2,0,
2026-03-26,B0149,14.04,7.03,4.63,2.668,2.541,-0.127,0,
2026-03-27,B0150,12.82,7.59,4.59,2.609,2.482,-0.127,0,
2026-04-03,B0151,13.12,5.64,5.21,2.767,2.612,-0.155,0,
2026-04-18,B0152,16.95,5.16,4.9,2.71,2.577,-0.133,0,
2026-04-26,B0153,14.3,4.93,5.47,2.81,2.64,-0.17,0,
2026-04-29,B0154,9.44,5.8,5.06,2.623,2.522,-0.1,0,
2026-05-08,B0155,11.0,5.79,5.11,2.515,2.43,-0.085,0,
2026-05-10,B0156,17.61,5.35,5.49,2.501,2.371,-0.13,0,
2026-05-11,B0157,18.81,6.44,3.73,2.672,2.59,-0.082,0,
2026-05-17,B0158,8.68,10.7,4.34,2.612,2.438,-0.175,1,损失率异常：矿岩分界欠挖/底板残留
2026-05-25,B0159,19.53,5.72,5.51,2.643,2.542,-0.101,0,
2026-06-08,B0160,16.42,5.77,4.78,2.671,2.547,-0.124,0,
2026-06-09,B0161,13.42,4.37,5.37,2.718,2.593,-0.125,0,
2026-06-10,B0162,19.42,4.83,4.05,2.629,2.515,-0.114,0,
2026-06-25,B0163,18.61,5.01,4.49,2.701,2.538,-0.163,0,
2026-07-19,B0164,15.45,4.22,4.69,2.753,2.681,-0.073,0,
2026-07-23,B0165,17.37,5.1,4.48,2.772,2.638,-0.134,0,
2026-07-25,B0166,15.56,5.22,4.27,2.683,2.572,-0.112,0,
2026-08-01,B0167,15.95,6.03,4.94,2.731,2.632,-0.099,0,
2026-08-30,B0168,18.0,5.28,4.61,2.95,2.797,-0.153,0,
2026-08-31,B0169,12.6,5.82,4.15,2.784,2.665,-0.118,0,
2026-09-04,B0170,10.42,5.18,4.08,2.797,2.662,-0.135,0,
2026-09-07,B0171,16.09,5.6,4.93,2.74,2.555,-0.185,0,
2026-09-11,B0172,14.9,5.44,4.78,2.8,2.696,-0.104,0,
2026-09-12,B0173,14.25,4.79,4.62,2.933,2.83,-0.103,0,
2026-09-13,B0174,14.43,10.89,5.17,2.844,2.7,-0.144,1,损失率异常：矿岩分界欠挖/底板残留
