date,blast_id,powder_factor_kgpt,fragment_pass_rate_pct,rock_hardness_f,hole_count,blast_tonnage_wt,boulder_rate_pct
2026-05-11,BL-0147,0.806,94.0,12.9,171,17.37,5.1
2026-05-12,BL-0148,0.684,91.0,10.4,196,15.36,10.4
2026-05-25,BL-0149,0.88,95.2,15.3,194,16.69,4.4
2026-06-04,BL-0150,0.901,95.6,13.3,130,20.94,3.5
2026-06-10,BL-0151,1.025,90.5,18.0,72,6.23,9.2
2026-06-13,BL-0152,0.925,92.7,18.0,67,8.13,7.3
2026-06-20,BL-0153,0.987,91.2,17.1,185,6.7,8.8
2026-06-23,BL-0154,0.78,93.4,11.1,75,8.04,5.9
2026-06-25,BL-0155,0.74,93.2,13.0,172,12.61,6.0
2026-06-28,BL-0156,0.701,90.9,11.0,103,6.16,9.5
2026-07-01,BL-0157,0.945,95.9,16.3,71,10.04,2.9
2026-07-09,BL-0158,0.66,92.7,11.2,99,14.31,7.7
2026-07-19,BL-0159,0.679,93.0,8.8,150,10.86,8.7
2026-08-05,BL-0160,0.701,93.5,11.0,176,8.23,6.4
2026-08-11,BL-0161,0.713,93.6,8.9,179,14.46,5.8
2026-08-12,BL-0162,0.745,89.8,11.0,106,19.76,8.0
2026-08-21,BL-0163,0.863,94.7,13.4,124,21.28,6.0
2026-09-13,BL-0164,1.065,92.5,18.0,201,11.47,7.0
2026-09-14,BL-0165,1.027,93.7,18.0,131,10.18,5.0
