date,ore_plan_t,waste_plan_t,total_plan_t,ore_actual_t,waste_actual_t,total_actual_t,completion_rate,stripping_ratio
2023-02-10,44450.6,111126.6,155577.2,45271.2,112904.1,158175.3,101.67,2.494
2023-02-11,44471.3,111178.2,155649.5,44609.1,115687.9,160297.0,102.99,2.593
2023-02-12,44491.3,111228.3,155719.7,43910.0,112206.2,156116.3,100.25,2.555
2023-02-13,44510.7,111276.9,155787.6,46266.1,117206.8,163472.9,104.93,2.533
2023-02-14,44529.5,111323.7,155853.2,45756.4,113243.1,158999.4,102.02,2.475
2023-02-15,44547.5,111368.7,155916.2,43343.1,115346.8,158689.9,101.78,2.661
2023-02-16,44564.7,111411.8,155976.6,44182.0,112524.0,156706.0,100.47,2.547
2023-02-17,44581.2,111452.9,156034.1,48385.5,116462.3,164847.8,105.65,2.407
2023-02-18,44596.7,111491.8,156088.6,45751.8,112002.8,157754.6,101.07,2.448
2023-02-19,44611.4,111528.5,156139.9,44610.7,110324.5,154935.2,99.23,2.473
2023-02-20,44625.1,111562.8,156188.0,46724.6,113290.8,160015.4,102.45,2.425
2023-02-21,44637.9,111594.7,156232.6,49934.9,122022.1,171957.0,110.06,2.444
2023-02-22,44649.6,111624.0,156273.6,48584.4,123323.6,171908.0,110.0,2.538
2023-02-23,44660.3,111650.6,156310.9,47259.1,118123.5,165382.6,105.8,2.499
2023-02-24,44669.8,111674.5,156344.3,46380.7,111367.9,157748.6,100.9,2.401
2023-02-25,44678.2,111695.5,156373.7,45941.5,113186.2,159127.7,101.76,2.464
2023-02-26,44685.4,111713.5,156399.0,44712.5,116536.9,161249.4,103.1,2.606
2023-02-27,44691.4,111728.5,156419.9,44401.1,113794.6,158195.7,101.14,2.563
2023-02-28,44696.1,111740.4,156436.5,43134.2,106236.5,149370.7,95.48,2.463
2023-03-01,44699.6,111748.9,156448.5,42829.3,116211.6,159040.9,101.66,2.713
2023-03-02,44701.7,111754.2,156455.9,44291.8,113439.6,157731.3,100.82,2.561
2023-03-03,44702.4,111756.0,156458.5,46239.2,109803.9,156043.1,99.73,2.375
2023-03-04,44701.8,111754.4,156456.2,42236.0,103877.6,146113.6,93.39,2.459
2023-03-05,44699.7,111749.2,156448.8,42058.7,102916.2,144974.9,92.67,2.447
2023-03-06,44696.1,111740.3,156436.4,43037.9,109439.1,152477.0,97.47,2.543
2023-03-07,44691.1,111727.7,156418.7,38333.9,100428.3,138762.2,88.71,2.62
2023-03-08,44684.5,111711.2,156395.7,35624.1,90653.8,126277.9,80.74,2.545
2023-03-09,44676.4,111691.0,156367.3,37998.0,98994.2,136992.2,87.61,2.605
2023-03-10,44666.7,111666.7,156333.4,41534.6,103011.6,144546.2,92.46,2.48
2023-03-11,44655.4,111638.5,156293.9,42520.2,108815.5,151335.7,96.83,2.559
2023-03-12,44642.5,111606.3,156248.8,43163.9,109147.5,152311.4,97.48,2.529
2023-03-13,44628.0,111569.9,156197.8,43514.3,112692.8,156207.1,100.01,2.59
2023-03-14,44611.7,111529.4,156141.1,43984.5,109938.2,153922.7,98.58,2.499
2023-03-15,44593.9,111484.6,156078.5,42561.4,106462.5,149023.9,95.48,2.501
2023-03-16,44574.3,111435.7,156010.0,42198.8,104283.1,146481.9,93.89,2.471
2023-03-17,44553.0,111382.4,155935.4,43261.2,102213.9,145475.1,93.29,2.363
2023-03-18,44530.0,111324.9,155854.8,41204.8,105054.5,146259.3,93.84,2.55
2023-03-19,44505.2,111263.0,155768.2,45938.2,109638.4,155576.6,99.88,2.387
2023-03-20,44478.7,111196.7,155675.4,42135.9,105179.4,147315.3,94.63,2.496
2023-03-21,44450.4,111126.0,155576.5,43849.4,111960.2,155809.6,100.15,2.553
2023-03-22,44420.4,111051.0,155471.4,43602.5,106423.8,150026.3,96.5,2.441
2023-03-23,44388.6,110971.5,155360.1,42230.0,102365.7,144595.8,93.07,2.424
2023-03-24,44355.0,110887.6,155242.6,39763.2,96460.5,136223.8,87.75,2.426
2023-03-25,44319.7,110799.2,155118.9,40603.0,104289.5,144892.5,93.41,2.569
2023-03-26,44282.6,110706.4,154989.0,46046.1,113322.7,159368.8,102.83,2.461
2023-03-27,44243.7,110609.2,154852.9,45691.0,117637.9,163328.9,105.47,2.575
2023-03-28,44203.0,110507.6,154710.6,44043.1,110571.6,154614.7,99.94,2.511
2023-03-29,44160.6,110401.6,154562.2,40458.2,104918.4,145376.6,94.06,2.593
2023-03-30,44116.5,110291.2,154407.6,41995.5,108026.2,150021.8,97.16,2.572
2023-03-31,44070.6,110176.4,154247.0,42593.1,107585.2,150178.3,97.36,2.526
2023-04-01,44022.9,110057.3,154080.2,40045.0,103688.7,143733.7,93.28,2.589
2023-04-02,43973.6,109933.9,153907.5,41881.1,101810.0,143691.1,93.36,2.431
2023-04-03,43922.5,109806.2,153728.7,43142.9,107756.5,150899.4,98.16,2.498
2023-04-04,43869.7,109674.4,153544.1,42403.2,105587.0,147990.2,96.38,2.49
2023-04-05,43815.3,109538.3,153353.6,44734.5,109979.4,154713.9,100.89,2.458
2023-04-06,43759.3,109398.1,153157.4,43691.3,114526.3,158217.6,103.3,2.621
2023-04-07,43701.6,109253.9,152955.4,39852.0,102391.5,142243.4,93.0,2.569
2023-04-08,43642.3,109105.6,152747.9,39883.1,106422.0,146305.0,95.78,2.668
2023-04-09,43581.4,108953.5,152534.8,44237.2,111194.3,155431.5,101.9,2.514
2023-04-10,43519.0,108797.4,152316.4,44640.7,104291.6,148932.2,97.78,2.336
2023-04-11,43455.0,108637.5,152092.6,46106.6,109975.2,156081.9,102.62,2.385
2023-04-12,43389.6,108474.0,151863.5,44991.4,117475.7,162467.1,106.98,2.611
2023-04-13,43322.7,108306.7,151629.4,43396.0,113016.7,156412.7,103.15,2.604
2023-04-14,43254.4,108136.0,151390.4,43230.5,105928.3,149158.8,98.53,2.45
2023-04-15,43184.7,107961.7,151146.4,42814.0,102520.4,145334.4,96.15,2.395
2023-04-16,43113.6,107784.1,150897.8,44213.2,111027.8,155241.0,102.88,2.511
2023-04-17,43041.3,107603.2,150644.5,43769.4,109151.4,152920.7,101.51,2.494
2023-04-18,42967.7,107419.2,150386.9,44272.5,108140.5,152413.0,101.35,2.443
2023-04-19,42892.8,107232.1,150124.9,42178.4,110673.0,152851.4,101.82,2.624
2023-04-20,42816.8,107042.0,149858.8,40020.8,100546.8,140567.6,93.8,2.512
2023-04-21,42739.6,106849.1,149588.8,42043.7,108101.7,150145.5,100.37,2.571
2023-04-22,42661.4,106653.5,149314.9,25032.7,62523.7,87556.4,58.64,2.498
2023-04-23,42582.1,106455.2,149037.3,45044.0,104733.1,149777.0,100.5,2.325
2023-04-24,42501.8,106254.5,148756.3,42217.7,110409.2,152626.8,102.6,2.615
2023-04-25,42420.6,106051.4,148472.0,42527.4,102556.5,145083.9,97.72,2.412
2023-04-26,42338.5,105846.1,148184.6,44003.0,112001.3,156004.3,105.28,2.545
2023-04-27,42255.5,105638.7,147894.2,42114.7,102953.7,145068.4,98.09,2.445
2023-04-28,42171.8,105429.4,147601.1,42312.5,105443.7,147756.1,100.11,2.492
2023-04-29,42087.3,105218.2,147305.5,42862.3,110909.0,153771.3,104.39,2.588
2023-04-30,42002.1,105005.3,147007.5,41961.1,104451.5,146412.6,99.6,2.489
2023-05-01,41916.4,104790.9,146707.3,42392.1,110625.0,153017.1,104.3,2.61
2023-05-02,41830.1,104575.2,146405.2,41749.3,101861.9,143611.1,98.09,2.44
2023-05-03,41743.2,104358.1,146101.4,41830.8,105246.7,147077.5,100.67,2.516
2023-05-04,41656.0,104140.0,145796.0,40921.6,105843.8,146765.4,100.66,2.586
2023-05-05,41568.4,103920.9,145489.3,39863.2,101816.8,141680.0,97.38,2.554
2023-05-06,41480.4,103701.0,145181.4,42004.4,103048.5,145052.9,99.91,2.453
2023-05-07,41392.2,103480.5,144872.7,41427.9,96273.8,137701.7,95.05,2.324
2023-05-08,41303.8,103259.5,144563.3,36844.4,92838.6,129683.0,89.71,2.52
2023-05-09,41215.3,103038.2,144253.5,38793.1,101382.7,140175.9,97.17,2.613
2023-05-10,41126.7,102816.7,143943.4,41996.2,104196.5,146192.7,101.56,2.481
2023-05-11,41038.1,102595.2,143633.3,41906.5,107424.2,149330.7,103.97,2.563
2023-05-12,40949.5,102373.9,143323.4,42691.7,106114.4,148806.1,103.83,2.486
2023-05-13,40861.1,102152.8,143013.9,40770.0,105927.2,146697.3,102.58,2.598
2023-05-14,40772.9,101932.2,142705.1,41005.1,103039.2,144044.3,100.94,2.513
2023-05-15,40684.9,101712.3,142397.2,39759.4,92987.7,132747.0,93.22,2.339
2023-05-16,40597.3,101493.2,142090.4,38252.8,101938.9,140191.7,98.66,2.665
2023-05-17,40510.0,101275.0,141785.0,40487.9,99476.0,139963.9,98.72,2.457
2023-05-18,40423.2,101057.9,141481.1,41369.5,104098.6,145468.1,102.82,2.516
2023-05-19,40336.8,100842.1,141179.0,40533.5,103382.5,143916.0,101.94,2.551
2023-05-20,40251.1,100627.8,140878.9,37436.1,95521.9,132958.0,94.38,2.552
2023-05-21,40166.0,100415.0,140581.0,37475.5,92929.9,130405.4,92.76,2.48
2023-05-22,40081.6,100204.0,140285.6,36401.2,96699.7,133100.9,94.88,2.656
2023-05-23,39998.0,99994.9,139992.8,38233.2,99866.0,138099.2,98.65,2.612
2023-05-24,39915.1,99787.9,139703.0,37808.2,95669.5,133477.7,95.54,2.53
2023-05-25,39833.2,99583.1,139416.3,39476.5,102043.2,141519.7,101.51,2.585
2023-05-26,39752.3,99380.6,139132.9,37772.1,97772.6,135544.7,97.42,2.588
2023-05-27,39672.3,99180.7,138853.0,40383.7,97526.7,137910.5,99.32,2.415
2023-05-28,39593.4,98983.5,138576.9,39308.3,102622.3,141930.5,102.42,2.611
2023-05-29,39515.7,98789.1,138304.8,39849.5,96280.1,136129.6,98.43,2.416
2023-05-30,39439.1,98597.7,138036.8,42025.2,106094.5,148119.7,107.3,2.525
2023-05-31,39363.8,98409.5,137773.2,39626.1,103043.4,142669.6,103.55,2.6
2023-06-01,39289.8,98224.4,137514.2,38890.8,94699.9,133590.7,97.15,2.435
2023-06-02,39217.1,98042.8,137259.9,38254.6,92282.9,130537.5,95.1,2.412
2023-06-03,39145.9,97864.7,137010.6,39009.2,98856.9,137866.1,100.62,2.534
2023-06-04,39076.1,97690.3,136766.4,36344.2,94406.6,130750.8,95.6,2.598
2023-06-05,39007.9,97519.7,136527.6,37213.0,91812.8,129025.8,94.51,2.467
2023-06-06,38941.2,97353.0,136294.2,36451.4,87983.2,124434.5,91.3,2.414
2023-06-07,38876.1,97190.4,136066.5,39024.0,96962.8,135986.8,99.94,2.485
2023-06-08,38812.8,97031.9,135844.7,40203.8,102061.6,142265.4,104.73,2.539
2023-06-09,38751.1,96877.8,135628.9,39917.7,100431.3,140349.0,103.48,2.516
2023-06-10,38691.2,96728.0,135419.2,41616.0,103414.3,145030.3,107.1,2.485
2023-06-11,38633.1,96582.8,135215.9,41366.6,99303.4,140670.0,104.03,2.401
2023-06-12,38576.9,96442.2,135019.0,42002.6,103711.4,145714.0,107.92,2.469
2023-06-13,38522.5,96306.3,134828.8,40494.4,104857.1,145351.5,107.8,2.589
2023-06-14,38470.1,96175.2,134645.3,39595.2,100233.3,139828.5,103.85,2.531
2023-06-15,38419.6,96049.1,134468.7,38258.0,98169.5,136427.5,101.46,2.566
2023-06-16,38371.2,95928.0,134299.2,39087.6,102139.8,141227.5,105.16,2.613
2023-06-17,38324.8,95811.9,134136.7,42333.3,99941.6,142274.9,106.07,2.361
2023-06-18,38280.4,95701.1,133981.5,38392.9,95439.1,133832.1,99.89,2.486
2023-06-19,38238.2,95595.5,133833.7,41062.6,108264.4,149327.0,111.58,2.637
2023-06-20,38198.1,95495.3,133693.4,44700.9,106458.5,151159.4,113.06,2.382
2023-06-21,38160.2,95400.4,133560.6,42515.7,109512.3,152028.0,113.83,2.576
2023-06-22,38124.4,95311.0,133435.4,42570.6,101159.1,143729.7,107.71,2.376
2023-06-23,38090.9,95227.2,133318.0,40190.7,96785.1,136975.8,102.74,2.408
2023-06-24,38059.6,95148.9,133208.4,36705.0,90231.5,126936.6,95.29,2.458
2023-06-25,38030.5,95076.2,133106.7,38755.9,96609.9,135365.8,101.7,2.493
2023-06-26,38003.7,95009.2,133012.9,35514.1,96941.8,132455.9,99.58,2.73
2023-06-27,37979.2,94948.0,132927.1,34115.2,82089.2,116204.3,87.42,2.406
2023-06-28,37957.0,94892.4,132849.4,35669.2,87762.7,123431.9,92.91,2.46
2023-06-29,37937.1,94842.7,132779.7,38891.6,94333.2,133224.8,100.34,2.426
2023-06-30,37919.5,94798.7,132718.2,38267.4,96532.0,134799.3,101.57,2.523
2023-07-01,37904.2,94760.6,132664.8,38070.4,95756.2,133826.6,100.88,2.515
2023-07-02,37891.3,94728.2,132619.5,37036.6,90619.7,127656.3,96.26,2.447
2023-07-03,37880.7,94701.8,132582.5,35381.7,88854.8,124236.5,93.71,2.511
2023-07-04,37872.5,94681.2,132553.6,36022.6,93278.3,129300.9,97.55,2.589
2023-07-05,37866.6,94666.4,132533.0,37264.1,93097.8,130361.9,98.36,2.498
2023-07-06,37863.0,94657.5,132520.5,37459.1,92458.0,129917.1,98.04,2.468
2023-07-07,37861.7,94654.4,132516.1,36908.0,89858.8,126766.8,95.66,2.435
2023-07-08,37862.8,94657.1,132519.9,35875.3,91091.0,126966.3,95.81,2.539
2023-07-09,37866.2,94665.6,132531.8,37531.1,96120.8,133652.0,100.85,2.561
2023-07-10,37872.0,94679.9,132551.8,33723.6,86642.9,120366.5,90.81,2.569
2023-07-11,37880.0,94699.9,132579.9,39204.6,92981.6,132186.2,99.7,2.372
2023-07-12,37890.3,94725.6,132615.9,35391.7,90356.1,125747.9,94.82,2.553
2023-07-13,37902.8,94757.0,132659.8,35843.2,87904.6,123747.8,93.28,2.452
2023-07-14,37917.6,94794.0,132711.6,32702.2,84707.3,117409.5,88.47,2.59
2023-07-15,37934.6,94836.6,132771.2,35055.1,90789.3,125844.4,94.78,2.59
2023-07-16,37953.9,94884.7,132838.6,38285.5,91019.7,129305.2,97.34,2.377
2023-07-17,37975.3,94938.2,132913.5,35679.4,93477.7,129157.1,97.17,2.62
2023-07-18,37998.9,94997.2,132996.1,36023.3,90224.7,126247.9,94.93,2.505
2023-07-19,38024.6,95061.4,133086.0,35878.3,96546.0,132424.3,99.5,2.691
2023-07-20,38052.4,95131.0,133183.3,36386.2,89083.9,125470.1,94.21,2.448
2023-07-21,38082.3,95205.7,133287.9,36374.0,93721.5,130095.5,97.6,2.577
2023-07-22,38114.2,95285.4,133399.6,36793.5,94623.7,131417.1,98.51,2.572
2023-07-23,38148.1,95370.2,133518.3,37133.4,90110.8,127244.2,95.3,2.427
2023-07-24,38184.0,95460.0,133643.9,35360.6,90747.5,126108.1,94.36,2.566
2023-07-25,38221.8,95554.5,133776.3,39405.7,97244.9,136650.6,102.15,2.468
2023-07-26,38261.5,95653.8,133915.3,38522.2,93788.9,132311.1,98.8,2.435
2023-07-27,38303.1,95757.7,134060.7,39033.9,93178.5,132212.4,98.62,2.387
2023-07-28,38346.4,95866.1,134212.6,37018.1,90955.3,127973.4,95.35,2.457
2023-07-29,38391.6,95979.0,134370.5,37166.7,88798.3,125965.0,93.74,2.389
2023-07-30,38438.5,96096.1,134534.6,37648.1,89259.0,126907.1,94.33,2.371
2023-07-31,38487.0,96217.5,134704.5,37003.9,89076.3,126080.2,93.6,2.407
2023-08-01,38537.2,96342.9,134880.1,36836.1,93099.8,129935.9,96.33,2.527
2023-08-02,38588.9,96472.3,135061.2,37794.8,96416.4,134211.2,99.37,2.551
2023-08-03,38642.2,96605.5,135247.8,39175.9,94537.5,133713.4,98.87,2.413
2023-08-04,38697.0,96742.5,135439.5,37415.2,97557.1,134972.2,99.66,2.607
2023-08-05,38753.2,96883.0,135636.2,36815.5,91091.1,127906.6,94.3,2.474
2023-08-06,38810.8,97027.0,135837.8,34980.8,87329.0,122309.8,90.04,2.496
2023-08-07,38869.7,97174.3,136044.0,38218.0,97015.5,135233.5,99.4,2.538
2023-08-08,38929.9,97324.7,136254.6,38096.5,102683.7,140780.3,103.32,2.695
2023-08-09,38991.3,97478.3,136469.6,39741.1,100524.8,140265.9,102.78,2.529
2023-08-10,39053.9,97634.7,136688.6,40131.3,98272.0,138403.3,101.25,2.449
2023-08-11,39117.6,97793.9,136911.5,40626.2,101314.4,141940.5,103.67,2.494
2023-08-12,39182.3,97955.7,137138.0,38186.7,103242.0,141428.7,103.13,2.704
2023-08-13,39248.0,98120.0,137368.1,38819.4,97761.5,136580.8,99.43,2.518
2023-08-14,39314.7,98286.7,137601.4,39271.0,104202.5,143473.5,104.27,2.653
2023-08-15,39382.2,98455.5,137837.8,39051.3,95792.6,134843.9,97.83,2.453
2023-08-16,39450.6,98626.4,138077.0,40212.6,102328.7,142541.3,103.23,2.545
2023-08-17,39519.7,98799.2,138318.9,40316.9,102699.9,143016.8,103.4,2.547
2023-08-18,39589.5,98973.8,138563.3,38710.4,99065.7,137776.1,99.43,2.559
2023-08-19,39660.0,99149.9,138809.9,36745.2,90790.9,127536.1,91.88,2.471
2023-08-20,39731.0,99327.5,139058.6,40381.5,94296.0,134677.6,96.85,2.335
2023-08-21,39802.6,99506.5,139309.0,39094.8,98969.5,138064.3,99.11,2.532
2023-08-22,39874.6,99686.5,139561.1,44500.1,105744.3,150244.4,107.65,2.376
2023-08-23,39947.0,99867.6,139814.7,41198.4,96195.4,137393.9,98.27,2.335
2023-08-24,40019.8,100049.6,140069.4,41441.5,105599.5,147041.1,104.98,2.548
2023-08-25,40092.9,100232.2,140325.1,40961.4,100163.8,141125.2,100.57,2.445
2023-08-26,40166.2,100415.5,140581.7,40132.6,98065.6,138198.2,98.3,2.444
2023-08-27,40239.7,100599.2,140838.8,41698.3,106102.3,147800.6,104.94,2.545
2023-08-28,40313.2,100783.1,141096.3,42496.8,107589.2,150086.1,106.37,2.532
2023-08-29,40386.9,100967.2,141354.0,43116.6,104842.5,147959.1,104.67,2.432
2023-08-30,40460.5,101151.3,141611.8,41079.9,98261.3,139341.3,98.4,2.392
2023-08-31,40534.1,101335.2,141869.3,41346.8,102150.1,143496.8,101.15,2.471
2023-09-01,40607.5,101518.8,142126.4,41928.2,104911.5,146839.7,103.32,2.502
2023-09-02,40680.8,101702.0,142382.9,42178.0,104892.8,147070.8,103.29,2.487
2023-09-03,40753.9,101884.7,142638.6,39977.9,103065.9,143043.7,100.28,2.578
2023-09-04,40826.7,102066.7,142893.3,40391.1,104995.5,145386.6,101.74,2.599
2023-09-05,40899.1,102247.8,143146.9,39627.2,95496.9,135124.1,94.4,2.41
2023-09-06,40971.2,102428.0,143399.2,38459.2,95998.7,134458.0,93.76,2.496
2023-09-07,41042.8,102607.1,143650.0,40232.4,101819.2,142051.6,98.89,2.531
2023-09-08,41114.0,102785.0,143899.0,39995.9,101047.6,141043.5,98.02,2.526
2023-09-09,41184.6,102961.6,144146.2,41295.6,100502.0,141797.6,98.37,2.434
2023-09-10,41254.7,103136.7,144391.4,40703.9,101086.7,141790.6,98.2,2.483
2023-09-11,41324.1,103310.3,144634.4,40991.0,103985.0,144975.9,100.24,2.537
2023-09-12,41392.9,103482.2,144875.0,38883.6,92516.5,131400.1,90.7,2.379
2023-09-13,41460.9,103652.3,145113.2,40660.6,99367.4,140028.0,96.5,2.444
2023-09-14,41528.2,103820.5,145348.6,42102.8,105792.3,147895.2,101.75,2.513
2023-09-15,41594.7,103986.7,145581.3,42443.3,105147.9,147591.2,101.38,2.477
2023-09-16,41660.3,104150.8,145811.1,42882.8,105635.2,148518.0,101.86,2.463
2023-09-17,41725.1,104312.7,146037.8,39519.6,97700.0,137219.6,93.96,2.472
2023-09-18,41788.9,104472.3,146261.3,40281.2,107948.6,148229.8,101.35,2.68
2023-09-19,41851.8,104629.6,146481.4,43256.2,110942.2,154198.4,105.27,2.565
2023-09-20,41913.7,104784.4,146698.1,44350.4,109790.8,154141.2,105.07,2.476
2023-09-21,41974.6,104936.6,146911.2,44389.2,110307.7,154696.9,105.3,2.485
2023-09-22,42034.5,105086.2,147120.7,44832.2,116074.1,160906.3,109.37,2.589
2023-09-23,42093.2,105233.1,147326.4,43085.0,105166.8,148251.9,100.63,2.441
2023-09-24,42150.9,105377.3,147528.2,42078.6,112868.9,154947.5,105.03,2.682
2023-09-25,42207.4,105518.6,147726.0,42428.8,102734.5,145163.4,98.27,2.421
2023-09-26,42262.8,105657.0,147919.8,45079.8,103047.3,148127.1,100.14,2.286
2023-09-27,42317.0,105792.4,148109.4,46253.0,117139.3,163392.3,110.32,2.533
2023-09-28,42369.9,105924.9,148294.8,43809.2,113130.1,156939.3,105.83,2.582
2023-09-29,42421.7,106054.2,148475.9,42686.9,104450.0,147136.9,99.1,2.447
2023-09-30,42472.2,106180.5,148652.7,44453.0,109786.9,154239.9,103.76,2.47
2023-10-01,42521.5,106303.6,148825.1,44064.8,113802.5,157867.3,106.08,2.583
2023-10-02,42569.4,106423.6,148993.0,41692.6,104708.2,146400.9,98.26,2.511
2023-10-03,42616.1,106540.3,149156.4,42498.8,108785.9,151284.6,101.43,2.56
2023-10-04,42661.5,106653.8,149315.3,45145.8,108111.2,153257.0,102.64,2.395
2023-10-05,42705.6,106764.0,149469.5,44904.4,117160.1,162064.5,108.43,2.609
2023-10-06,42748.3,106870.9,149619.2,45229.9,112796.1,158026.0,105.62,2.494
2023-10-07,42789.8,106974.4,149764.2,43730.7,107516.1,151246.8,100.99,2.459
2023-10-08,42829.9,107074.7,149904.6,45256.9,105515.0,150771.9,100.58,2.331
2023-10-09,42868.7,107171.7,150040.3,43416.7,106625.5,150042.2,100.0,2.456
2023-10-10,42906.1,107265.3,150171.4,26140.2,66343.7,92483.9,61.59,2.538
2023-10-11,42942.2,107355.6,150297.8,45754.7,109088.7,154843.4,103.02,2.384
2023-10-12,42977.0,107442.5,150419.5,43310.7,109902.5,153213.2,101.86,2.538
2023-10-13,43010.5,107526.2,150536.6,40167.5,100106.8,140274.3,93.18,2.492
2023-10-14,43042.6,107606.5,150649.1,39652.9,102421.5,142074.4,94.31,2.583
2023-10-15,43073.4,107683.6,150757.0,42993.1,104113.1,147106.2,97.58,2.422
2023-10-16,43102.9,107757.3,150860.3,44296.5,109469.0,153765.5,101.93,2.471
2023-10-17,43131.2,107827.9,150959.1,43710.7,105555.6,149266.3,98.88,2.415
2023-10-18,43158.1,107895.2,151053.3,41661.3,107196.9,148858.2,98.55,2.573
2023-10-19,43183.8,107959.4,151143.2,40190.3,102278.9,142469.3,94.26,2.545
2023-10-20,43208.2,108020.4,151228.6,39375.2,101192.2,140567.4,92.95,2.57
2023-10-21,43231.3,108078.3,151309.7,38167.2,92894.8,131062.0,86.62,2.434
2023-10-22,43253.3,108133.2,151386.5,39203.8,101298.4,140502.2,92.81,2.584
2023-10-23,43274.0,108185.0,151459.0,39370.5,105702.1,145072.7,95.78,2.685
2023-10-24,43293.6,108233.9,151527.5,42458.5,107970.4,150428.9,99.28,2.543
2023-10-25,43312.0,108279.9,151591.8,42794.3,108836.5,151630.8,100.03,2.543
2023-10-26,43329.2,108323.0,151652.2,43388.5,105229.0,148617.4,98.0,2.425
2023-10-27,43345.3,108363.3,151708.7,42193.3,106014.3,148207.7,97.69,2.513
2023-10-28,43360.4,108400.9,151761.3,43279.1,110828.8,154107.8,101.55,2.561
2023-10-29,43374.4,108435.9,151810.2,43841.5,108460.0,152301.5,100.32,2.474
2023-10-30,43387.3,108468.2,151855.5,43904.3,111794.3,155698.5,102.53,2.546
2023-10-31,43399.2,108498.0,151897.3,42986.6,107333.4,150320.1,98.96,2.497
2023-11-01,43410.2,108525.4,151935.6,43599.6,106578.6,150178.2,98.84,2.444
2023-11-02,43420.2,108550.4,151970.6,43723.9,106010.5,149734.3,98.53,2.425
2023-11-03,43429.2,108573.1,152002.3,45315.3,111966.2,157281.5,103.47,2.471
2023-11-04,43437.4,108593.6,152031.0,44234.8,106302.9,150537.7,99.02,2.403
