date,equipment_id,equipment_name,build_year,trips_per_shift,shifts_worked,payload_t,daily_haulage_t
2023-01-05,TR-03,03#矿车,2019,7.99,3,219.3,5258.5
2023-01-05,TR-04,04#矿车,2014,7.68,2,217.8,3344.2
2023-01-05,TR-05,05#矿车,2022,8.54,2,231.5,3956.1
2023-01-05,TR-06,06#矿车,2018,8.19,3,229.1,5631.1
2023-01-05,TR-07,07#矿车,2020,9.17,3,217.4,5976.6
2023-01-05,TR-08,08#矿车,2015,8.08,3,222.5,5395.9
2023-01-05,TR-09,09#矿车,2023,7.85,3,220.5,5192.8
2023-01-05,TR-10,10#矿车,2016,9.02,3,229.2,6205.0
2023-01-05,TR-11,11#矿车,2021,8.77,3,227.1,5975.2
2023-01-05,TR-12,12#矿车,2013,6.17,2,227.1,2804.8
2023-01-06,TR-01,01#矿车,2017,7.65,3,219.5,5038.0
2023-01-06,TR-02,02#矿车,2021,8.08,3,217.3,5268.4
2023-01-06,TR-03,03#矿车,2019,8.03,3,219.3,5281.4
2023-01-06,TR-04,04#矿车,2014,7.21,3,217.8,4708.7
2023-01-06,TR-05,05#矿车,2022,8.43,3,231.5,5857.4
2023-01-06,TR-06,06#矿车,2018,7.82,2,229.1,3583.2
2023-01-06,TR-07,07#矿车,2020,9.14,3,217.4,5958.1
2023-01-06,TR-08,08#矿车,2015,8.03,3,222.5,5363.2
2023-01-06,TR-09,09#矿车,2023,7.47,2,220.5,3293.1
2023-01-06,TR-10,10#矿车,2016,9.1,3,229.2,6257.3
2023-01-06,TR-11,11#矿车,2021,8.97,3,227.1,6110.6
2023-01-06,TR-12,12#矿车,2013,6.64,3,227.1,4520.9
2023-01-07,TR-01,01#矿车,2017,7.75,3,219.5,5105.2
2023-01-07,TR-02,02#矿车,2021,8.1,2,217.3,3518.6
2023-01-07,TR-03,03#矿车,2019,8.56,3,219.3,5633.7
2023-01-07,TR-04,04#矿车,2014,6.91,3,217.8,4514.2
2023-01-07,TR-05,05#矿车,2022,8.14,2,231.5,3770.4
2023-01-07,TR-06,06#矿车,2018,8.08,2,229.1,3701.7
2023-01-07,TR-07,07#矿车,2020,8.74,3,217.4,5701.3
2023-01-07,TR-08,08#矿车,2015,8.44,2,222.5,3757.6
2023-01-07,TR-09,09#矿车,2023,7.86,3,220.5,5196.5
2023-01-07,TR-10,10#矿车,2016,9.03,3,229.2,6210.8
2023-01-07,TR-11,11#矿车,2021,8.55,2,227.1,3884.7
2023-01-07,TR-12,12#矿车,2013,6.94,3,227.1,4726.3
2023-01-08,TR-01,01#矿车,2017,7.68,2,219.5,3371.8
2023-01-08,TR-02,02#矿车,2021,8.32,3,217.3,5425.8
2023-01-08,TR-03,03#矿车,2019,8.05,2,219.3,3529.8
2023-01-08,TR-04,04#矿车,2014,7.04,3,217.8,4601.0
2023-01-08,TR-05,05#矿车,2022,8.06,2,231.5,3731.8
2023-01-08,TR-06,06#矿车,2018,8.18,3,229.1,5622.8
2023-01-08,TR-07,07#矿车,2020,8.71,3,217.4,5678.3
2023-01-08,TR-08,08#矿车,2015,8.32,3,222.5,5556.4
2023-01-08,TR-09,09#矿车,2023,8.06,3,220.5,5331.3
2023-01-08,TR-10,10#矿车,2016,8.44,3,229.2,5807.6
2023-01-08,TR-11,11#矿车,2021,7.9,2,227.1,3586.9
2023-01-08,TR-12,12#矿车,2013,7.56,3,227.1,5148.3
2023-01-09,TR-01,01#矿车,2017,8.49,3,219.5,5593.7
2023-01-09,TR-02,02#矿车,2021,8.26,3,217.3,5382.5
2023-01-09,TR-03,03#矿车,2019,8.65,3,219.3,5689.3
2023-01-09,TR-04,04#矿车,2014,7.12,3,217.8,4648.8
2023-01-09,TR-05,05#矿车,2022,8.24,3,231.5,5720.5
2023-01-09,TR-06,06#矿车,2018,8.34,2,229.1,3821.7
2023-01-09,TR-07,07#矿车,2020,8.65,3,217.4,5640.4
2023-01-09,TR-08,08#矿车,2015,8.36,3,222.5,5580.8
2023-01-09,TR-09,09#矿车,2023,8.08,3,220.5,5348.4
2023-01-09,TR-10,10#矿车,2016,8.53,3,229.2,5862.9
2023-01-09,TR-11,11#矿车,2021,8.65,3,227.1,5891.6
2023-01-09,TR-12,12#矿车,2013,7.12,2,227.1,3233.8
2023-01-10,TR-01,01#矿车,2017,8.58,3,219.5,5651.3
2023-01-10,TR-02,02#矿车,2021,8.34,2,217.3,3623.2
2023-01-10,TR-03,03#矿车,2019,8.49,3,219.3,5584.1
2023-01-10,TR-04,04#矿车,2014,7.32,3,217.8,4781.9
2023-01-10,TR-05,05#矿车,2022,7.91,3,231.5,5492.3
2023-01-10,TR-06,06#矿车,2018,8.11,3,229.1,5575.8
2023-01-10,TR-07,07#矿车,2020,8.39,3,217.4,5468.9
2023-01-10,TR-08,08#矿车,2015,8.46,2,222.5,3764.2
2023-01-10,TR-09,09#矿车,2023,8.25,3,220.5,5456.1
2023-01-10,TR-10,10#矿车,2016,8.28,2,229.2,3794.8
2023-01-10,TR-11,11#矿车,2021,8.87,3,227.1,6044.4
2023-01-10,TR-12,12#矿车,2013,7.17,3,227.1,4885.4
2023-01-11,TR-01,01#矿车,2017,8.17,2,219.5,3585.1
2023-01-11,TR-02,02#矿车,2021,8.48,2,217.3,3686.3
2023-01-11,TR-03,03#矿车,2019,8.46,3,219.3,5569.4
2023-01-11,TR-04,04#矿车,2014,7.24,3,217.8,4726.7
2023-01-11,TR-05,05#矿车,2022,8.31,2,231.5,3846.5
2023-01-11,TR-06,06#矿车,2018,8.29,2,229.1,3796.7
2023-01-11,TR-07,07#矿车,2020,8.74,3,217.4,5701.7
2023-01-11,TR-08,08#矿车,2015,8.61,3,222.5,5744.0
2023-01-11,TR-09,09#矿车,2023,7.64,2,220.5,3369.0
2023-01-11,TR-10,10#矿车,2016,8.63,2,229.2,3958.5
2023-01-11,TR-11,11#矿车,2021,8.16,3,227.1,5555.8
2023-01-11,TR-12,12#矿车,2013,7.3,2,227.1,3317.9
2023-01-12,TR-01,01#矿车,2017,8.2,3,219.5,5403.0
2023-01-12,TR-02,02#矿车,2021,8.77,3,217.3,5716.5
2023-01-12,TR-03,03#矿车,2019,8.1,2,219.3,3552.9
2023-01-12,TR-04,04#矿车,2014,6.75,3,217.8,4409.5
2023-01-12,TR-05,05#矿车,2022,8.8,3,231.5,6109.7
2023-01-12,TR-06,06#矿车,2018,8.34,2,229.1,3822.3
2023-01-12,TR-07,07#矿车,2020,8.41,3,217.4,5484.6
2023-01-12,TR-08,08#矿车,2015,9.03,3,222.5,6025.8
2023-01-12,TR-09,09#矿车,2023,7.56,3,220.5,5001.4
2023-01-12,TR-10,10#矿车,2016,8.52,2,229.2,3906.5
2023-01-12,TR-11,11#矿车,2021,8.7,2,227.1,3948.7
2023-01-12,TR-12,12#矿车,2013,7.29,2,227.1,3310.0
2023-01-13,TR-01,01#矿车,2017,8.31,2,219.5,3646.9
2023-01-13,TR-02,02#矿车,2021,8.58,3,217.3,5591.4
2023-01-13,TR-03,03#矿车,2019,8.42,3,219.3,5541.4
2023-01-13,TR-04,04#矿车,2014,7.38,2,217.8,3212.0
2023-01-13,TR-05,05#矿车,2022,8.61,2,231.5,3988.6
2023-01-13,TR-06,06#矿车,2018,8.47,3,229.1,5821.1
2023-01-13,TR-07,07#矿车,2020,8.95,3,217.4,5835.5
2023-01-13,TR-08,08#矿车,2015,8.7,2,222.5,3870.1
2023-01-13,TR-09,09#矿车,2023,7.68,3,220.5,5083.8
2023-01-13,TR-10,10#矿车,2016,8.69,2,229.2,3983.5
2023-01-13,TR-11,11#矿车,2021,8.39,3,227.1,5716.1
2023-01-13,TR-12,12#矿车,2013,6.95,3,227.1,4733.6
2023-01-14,TR-01,01#矿车,2017,8.16,2,219.5,3581.7
2023-01-14,TR-02,02#矿车,2021,8.36,3,217.3,5448.6
2023-01-14,TR-03,03#矿车,2019,8.38,3,219.3,5516.1
2023-01-14,TR-04,04#矿车,2014,7.43,3,217.8,4850.9
2023-01-14,TR-05,05#矿车,2022,8.36,2,231.5,3869.6
2023-01-14,TR-06,06#矿车,2018,8.15,3,229.1,5601.6
2023-01-14,TR-07,07#矿车,2020,9.0,3,217.4,5871.5
2023-01-14,TR-08,08#矿车,2015,8.52,2,222.5,3793.1
2023-01-14,TR-09,09#矿车,2023,7.94,2,220.5,3499.7
2023-01-14,TR-10,10#矿车,2016,8.27,3,229.2,5684.2
2023-01-14,TR-11,11#矿车,2021,8.81,3,227.1,6003.8
2023-01-14,TR-12,12#矿车,2013,6.88,3,227.1,4685.5
2023-01-15,TR-01,01#矿车,2017,8.23,3,219.5,5422.0
2023-01-15,TR-02,02#矿车,2021,8.46,2,217.3,3677.2
2023-01-15,TR-03,03#矿车,2019,8.11,3,219.3,5338.5
2023-01-15,TR-04,04#矿车,2014,7.22,3,217.8,4715.3
2023-01-15,TR-05,05#矿车,2022,8.42,3,231.5,5851.0
2023-01-15,TR-06,06#矿车,2018,7.76,3,229.1,5335.3
2023-01-15,TR-07,07#矿车,2020,8.66,2,217.4,3763.9
2023-01-15,TR-08,08#矿车,2015,8.38,2,222.5,3727.3
2023-01-15,TR-09,09#矿车,2023,8.01,2,220.5,3530.5
2023-01-15,TR-10,10#矿车,2016,8.2,3,229.2,5636.6
2023-01-15,TR-11,11#矿车,2021,7.66,3,227.1,5218.2
2023-01-15,TR-12,12#矿车,2013,7.05,2,227.1,3202.4
2023-01-16,TR-01,01#矿车,2017,8.21,3,219.5,5408.5
2023-01-16,TR-02,02#矿车,2021,8.32,2,217.3,3617.5
2023-01-16,TR-03,03#矿车,2019,8.4,3,219.3,5526.9
2023-01-16,TR-04,04#矿车,2014,7.25,2,217.8,3159.1
2023-01-16,TR-05,05#矿车,2022,8.51,3,231.5,5912.6
2023-01-16,TR-06,06#矿车,2018,7.87,3,229.1,5410.7
2023-01-16,TR-07,07#矿车,2020,9.08,3,217.4,5922.2
2023-01-16,TR-08,08#矿车,2015,8.67,3,222.5,5787.2
2023-01-16,TR-09,09#矿车,2023,8.33,2,220.5,3673.0
2023-01-16,TR-10,10#矿车,2016,8.42,3,229.2,5792.5
2023-01-16,TR-11,11#矿车,2021,8.32,3,227.1,5665.7
2023-01-16,TR-12,12#矿车,2013,6.46,3,227.1,4401.5
2023-01-17,TR-01,01#矿车,2017,8.54,3,219.5,5625.4
2023-01-17,TR-02,02#矿车,2021,8.55,2,217.3,3715.8
2023-01-17,TR-03,03#矿车,2019,8.36,3,219.3,5502.2
2023-01-17,TR-04,04#矿车,2014,7.34,3,217.8,4792.1
2023-01-17,TR-05,05#矿车,2022,8.82,2,231.5,4085.5
2023-01-17,TR-06,06#矿车,2018,7.74,3,229.1,5320.6
2023-01-17,TR-07,07#矿车,2020,8.91,3,217.4,5808.6
2023-01-17,TR-08,08#矿车,2015,8.34,2,222.5,3713.2
2023-01-17,TR-09,09#矿车,2023,7.7,3,220.5,5095.0
2023-01-17,TR-10,10#矿车,2016,8.04,3,229.2,5531.9
2023-01-17,TR-11,11#矿车,2021,8.71,3,227.1,5932.3
2023-01-17,TR-12,12#矿车,2013,6.99,3,227.1,4764.9
2023-01-18,TR-01,01#矿车,2017,8.54,3,219.5,5627.0
2023-01-18,TR-02,02#矿车,2021,8.26,3,217.3,5387.4
2023-01-18,TR-03,03#矿车,2019,8.28,3,219.3,5445.7
2023-01-18,TR-04,04#矿车,2014,7.35,2,217.8,3200.5
2023-01-18,TR-05,05#矿车,2022,8.79,2,231.5,4069.1
2023-01-18,TR-06,06#矿车,2018,7.82,3,229.1,5372.0
2023-01-18,TR-07,07#矿车,2020,8.71,3,217.4,5677.2
2023-01-18,TR-08,08#矿车,2015,8.62,2,222.5,3837.1
2023-01-18,TR-09,09#矿车,2023,7.61,3,220.5,5036.3
2023-01-18,TR-10,10#矿车,2016,8.3,2,229.2,3806.6
2023-01-18,TR-11,11#矿车,2021,8.15,3,227.1,5550.6
2023-01-18,TR-12,12#矿车,2013,7.45,3,227.1,5073.9
2023-01-19,TR-01,01#矿车,2017,8.67,3,219.5,5709.6
2023-01-19,TR-02,02#矿车,2021,8.39,3,217.3,5467.9
2023-01-19,TR-03,03#矿车,2019,8.53,3,219.3,5610.5
2023-01-19,TR-04,04#矿车,2014,7.37,3,217.8,4815.7
2023-01-19,TR-05,05#矿车,2022,9.1,3,231.5,6322.1
2023-01-19,TR-06,06#矿车,2018,7.88,2,229.1,3612.4
2023-01-19,TR-07,07#矿车,2020,8.69,3,217.4,5666.4
2023-01-19,TR-08,08#矿车,2015,8.77,3,222.5,5857.2
2023-01-19,TR-09,09#矿车,2023,7.9,3,220.5,5225.7
2023-01-19,TR-10,10#矿车,2016,7.98,3,229.2,5485.5
2023-01-19,TR-11,11#矿车,2021,8.19,3,227.1,5577.8
2023-01-19,TR-12,12#矿车,2013,6.94,2,227.1,3153.4
2023-01-20,TR-01,01#矿车,2017,8.19,3,219.5,5391.2
2023-01-20,TR-02,02#矿车,2021,8.72,3,217.3,5683.5
2023-01-20,TR-03,03#矿车,2019,8.43,3,219.3,5547.8
2023-01-20,TR-04,04#矿车,2014,7.24,3,217.8,4730.3
2023-01-20,TR-05,05#矿车,2022,8.9,2,231.5,4120.0
2023-01-20,TR-06,06#矿车,2018,8.07,3,229.1,5545.9
2023-01-20,TR-07,07#矿车,2020,8.88,3,217.4,5790.9
2023-01-20,TR-08,08#矿车,2015,9.08,2,222.5,4040.9
2023-01-20,TR-09,09#矿车,2023,7.97,2,220.5,3517.0
2023-01-20,TR-10,10#矿车,2016,8.66,3,229.2,5955.4
2023-01-20,TR-11,11#矿车,2021,3.71,1,227.1,843.1
2023-01-20,TR-12,12#矿车,2013,7.06,3,227.1,4810.1
2023-01-21,TR-01,01#矿车,2017,8.06,2,219.5,3539.6
2023-01-21,TR-02,02#矿车,2021,8.62,2,217.3,3748.1
2023-01-21,TR-03,03#矿车,2019,8.24,3,219.3,5420.1
2023-01-21,TR-04,04#矿车,2014,7.22,3,217.8,4717.2
2023-01-21,TR-05,05#矿车,2022,9.41,3,231.5,6537.2
2023-01-21,TR-06,06#矿车,2018,7.98,2,229.1,3656.8
2023-01-21,TR-07,07#矿车,2020,8.71,3,217.4,5680.9
2023-01-21,TR-08,08#矿车,2015,8.41,2,222.5,3743.9
2023-01-21,TR-09,09#矿车,2023,7.8,3,220.5,5158.1
2023-01-21,TR-10,10#矿车,2016,8.58,2,229.2,3935.5
2023-01-21,TR-11,11#矿车,2021,8.48,3,227.1,5776.2
2023-01-21,TR-12,12#矿车,2013,7.24,3,227.1,4930.6
2023-01-22,TR-01,01#矿车,2017,8.42,3,219.5,5546.1
2023-01-22,TR-02,02#矿车,2021,8.09,3,217.3,5275.0
2023-01-22,TR-03,03#矿车,2019,8.61,2,219.3,3776.7
2023-01-22,TR-04,04#矿车,2014,6.91,3,217.8,4517.1
2023-01-22,TR-05,05#矿车,2022,9.2,3,231.5,6389.3
2023-01-22,TR-06,06#矿车,2018,8.06,3,229.1,5540.8
2023-01-22,TR-07,07#矿车,2020,8.91,3,217.4,5809.0
2023-01-22,TR-08,08#矿车,2015,8.61,3,222.5,5748.9
2023-01-22,TR-09,09#矿车,2023,7.86,2,220.5,3466.9
2023-01-22,TR-10,10#矿车,2016,8.43,3,229.2,5795.8
2023-01-22,TR-11,11#矿车,2021,8.2,2,227.1,3722.9
2023-01-22,TR-12,12#矿车,2013,6.86,3,227.1,4674.3
2023-01-23,TR-01,01#矿车,2017,7.81,3,219.5,5140.9
2023-01-23,TR-02,02#矿车,2021,8.55,2,217.3,3716.5
2023-01-23,TR-03,03#矿车,2019,7.46,3,219.3,4907.7
2023-01-23,TR-04,04#矿车,2014,7.24,2,217.8,3151.8
2023-01-23,TR-05,05#矿车,2022,8.55,2,231.5,3957.1
2023-01-23,TR-06,06#矿车,2018,8.42,3,229.1,5788.6
2023-01-23,TR-07,07#矿车,2020,8.66,2,217.4,3765.0
2023-01-23,TR-08,08#矿车,2015,8.1,3,222.5,5409.9
2023-01-23,TR-09,09#矿车,2023,8.19,2,220.5,3610.8
2023-01-23,TR-10,10#矿车,2016,8.57,2,229.2,3929.1
2023-01-23,TR-11,11#矿车,2021,8.63,2,227.1,3919.3
2023-01-23,TR-12,12#矿车,2013,7.0,3,227.1,4770.5
2023-01-24,TR-01,01#矿车,2017,8.07,2,219.5,3543.9
2023-01-24,TR-02,02#矿车,2021,8.31,3,217.3,5419.6
2023-01-24,TR-03,03#矿车,2019,7.81,3,219.3,5137.7
2023-01-24,TR-04,04#矿车,2014,7.35,3,217.8,4800.8
2023-01-24,TR-05,05#矿车,2022,8.32,3,231.5,5775.9
2023-01-24,TR-06,06#矿车,2018,8.33,3,229.1,5726.9
2023-01-24,TR-07,07#矿车,2020,9.02,3,217.4,5883.2
2023-01-24,TR-08,08#矿车,2015,8.47,3,222.5,5654.1
2023-01-24,TR-09,09#矿车,2023,8.22,2,220.5,3625.8
2023-01-24,TR-10,10#矿车,2016,8.45,2,229.2,3874.6
2023-01-24,TR-11,11#矿车,2021,8.81,3,227.1,6001.9
2023-01-24,TR-12,12#矿车,2013,7.02,3,227.1,4783.3
2023-01-25,TR-01,01#矿车,2017,7.91,3,219.5,5208.4
2023-01-25,TR-02,02#矿车,2021,8.4,2,217.3,3651.3
2023-01-25,TR-03,03#矿车,2019,8.19,2,219.3,3591.7
2023-01-25,TR-04,04#矿车,2014,7.19,3,217.8,4698.8
2023-01-25,TR-05,05#矿车,2022,8.15,3,231.5,5660.5
2023-01-25,TR-06,06#矿车,2018,7.57,3,229.1,5199.6
2023-01-25,TR-07,07#矿车,2020,8.89,3,217.4,5797.7
2023-01-25,TR-08,08#矿车,2015,8.75,3,222.5,5838.6
2023-01-25,TR-09,09#矿车,2023,8.33,3,220.5,5510.3
2023-01-25,TR-10,10#矿车,2016,8.41,3,229.2,5785.6
2023-01-25,TR-11,11#矿车,2021,9.01,2,227.1,4089.5
2023-01-25,TR-12,12#矿车,2013,6.89,3,227.1,4691.5
2023-01-26,TR-01,01#矿车,2017,7.97,3,219.5,5246.1
2023-01-26,TR-02,02#矿车,2021,8.21,2,217.3,3568.7
2023-01-26,TR-03,03#矿车,2019,7.97,3,219.3,5242.2
2023-01-26,TR-04,04#矿车,2014,7.31,3,217.8,4777.8
2023-01-26,TR-05,05#矿车,2022,8.32,2,231.5,3854.1
2023-01-26,TR-06,06#矿车,2018,7.72,2,229.1,3535.5
2023-01-26,TR-07,07#矿车,2020,9.37,2,217.4,4073.9
2023-01-26,TR-08,08#矿车,2015,8.66,3,222.5,5777.4
2023-01-26,TR-09,09#矿车,2023,7.77,3,220.5,5141.1
2023-01-26,TR-10,10#矿车,2016,8.65,3,229.2,5949.0
2023-01-26,TR-11,11#矿车,2021,8.47,3,227.1,5772.5
2023-01-26,TR-12,12#矿车,2013,6.56,3,227.1,4469.6
2023-01-27,TR-01,01#矿车,2017,8.38,2,219.5,3678.8
2023-01-27,TR-02,02#矿车,2021,8.51,3,217.3,5549.4
2023-01-27,TR-03,03#矿车,2019,8.47,2,219.3,3715.8
2023-01-27,TR-04,04#矿车,2014,7.38,3,217.8,4818.1
2023-01-27,TR-05,05#矿车,2022,8.46,3,231.5,5878.9
2023-01-27,TR-06,06#矿车,2018,7.52,3,229.1,5171.4
2023-01-27,TR-07,07#矿车,2020,9.1,3,217.4,5936.4
2023-01-27,TR-08,08#矿车,2015,8.39,2,222.5,3731.9
2023-01-27,TR-09,09#矿车,2023,7.83,2,220.5,3451.8
2023-01-27,TR-10,10#矿车,2016,8.56,2,229.2,3925.2
2023-01-27,TR-11,11#矿车,2021,8.64,3,227.1,5883.2
2023-01-27,TR-12,12#矿车,2013,6.88,3,227.1,4687.7
2023-01-28,TR-01,01#矿车,2017,7.92,3,219.5,5213.0
2023-01-28,TR-02,02#矿车,2021,8.21,3,217.3,5349.3
2023-01-28,TR-03,03#矿车,2019,8.15,3,219.3,5365.1
2023-01-28,TR-04,04#矿车,2014,7.56,3,217.8,4937.0
2023-01-28,TR-05,05#矿车,2022,8.83,2,231.5,4089.8
2023-01-28,TR-06,06#矿车,2018,7.76,2,229.1,3556.3
2023-01-28,TR-07,07#矿车,2020,8.8,3,217.4,5739.5
2023-01-28,TR-08,08#矿车,2015,8.57,3,222.5,5722.7
2023-01-28,TR-09,09#矿车,2023,8.15,3,220.5,5391.4
2023-01-28,TR-10,10#矿车,2016,8.47,2,229.2,3881.7
2023-01-28,TR-11,11#矿车,2021,8.78,3,227.1,5981.6
2023-01-28,TR-12,12#矿车,2013,6.62,3,227.1,4513.4
2023-01-29,TR-01,01#矿车,2017,8.1,3,219.5,5337.3
2023-01-29,TR-02,02#矿车,2021,7.84,2,217.3,3408.1
2023-01-29,TR-03,03#矿车,2019,8.69,3,219.3,5718.3
2023-01-29,TR-04,04#矿车,2014,7.16,3,217.8,4677.0
2023-01-29,TR-05,05#矿车,2022,8.93,3,231.5,6201.1
2023-01-29,TR-06,06#矿车,2018,7.87,3,229.1,5410.8
2023-01-29,TR-07,07#矿车,2020,9.04,2,217.4,3927.9
2023-01-29,TR-08,08#矿车,2015,8.77,3,222.5,5852.3
2023-01-29,TR-09,09#矿车,2023,7.64,3,220.5,5051.6
2023-01-29,TR-10,10#矿车,2016,8.74,2,229.2,4008.6
2023-01-29,TR-11,11#矿车,2021,8.86,3,227.1,6034.6
2023-01-29,TR-12,12#矿车,2013,7.23,3,227.1,4926.3
2023-01-30,TR-01,01#矿车,2017,8.13,3,219.5,5355.0
2023-01-30,TR-02,02#矿车,2021,8.2,3,217.3,5348.7
2023-01-30,TR-03,03#矿车,2019,8.18,3,219.3,5380.2
2023-01-30,TR-04,04#矿车,2014,7.18,3,217.8,4692.3
2023-01-30,TR-05,05#矿车,2022,8.59,3,231.5,5963.1
2023-01-30,TR-06,06#矿车,2018,8.1,3,229.1,5569.1
2023-01-30,TR-07,07#矿车,2020,8.8,2,217.4,3825.8
2023-01-30,TR-08,08#矿车,2015,8.93,2,222.5,3971.9
2023-01-30,TR-09,09#矿车,2023,7.59,3,220.5,5017.9
2023-01-30,TR-10,10#矿车,2016,8.91,3,229.2,6126.2
2023-01-30,TR-11,11#矿车,2021,8.39,3,227.1,5715.2
2023-01-30,TR-12,12#矿车,2013,6.83,2,227.1,3102.9
2023-01-31,TR-01,01#矿车,2017,8.14,3,219.5,5359.1
2023-01-31,TR-02,02#矿车,2021,7.99,2,217.3,3472.5
2023-01-31,TR-03,03#矿车,2019,8.12,3,219.3,5344.3
2023-01-31,TR-04,04#矿车,2014,7.4,3,217.8,4837.3
2023-01-31,TR-05,05#矿车,2022,8.77,3,231.5,6094.7
2023-01-31,TR-06,06#矿车,2018,7.84,3,229.1,5389.4
2023-01-31,TR-07,07#矿车,2020,8.86,3,217.4,5779.1
2023-01-31,TR-08,08#矿车,2015,8.98,3,222.5,5997.3
2023-01-31,TR-09,09#矿车,2023,7.47,3,220.5,4943.5
2023-01-31,TR-10,10#矿车,2016,8.92,3,229.2,6136.2
2023-01-31,TR-11,11#矿车,2021,8.25,3,227.1,5622.3
2023-01-31,TR-12,12#矿车,2013,7.34,2,227.1,3335.0
2023-02-01,TR-01,01#矿车,2017,8.41,2,219.5,3691.9
2023-02-01,TR-02,02#矿车,2021,7.72,3,217.3,5034.7
2023-02-01,TR-03,03#矿车,2019,8.14,3,219.3,5355.9
2023-02-01,TR-04,04#矿车,2014,7.35,3,217.8,4804.5
2023-02-01,TR-05,05#矿车,2022,9.15,3,231.5,6352.9
2023-02-01,TR-06,06#矿车,2018,7.61,2,229.1,3486.4
2023-02-01,TR-07,07#矿车,2020,8.77,3,217.4,5721.0
2023-02-01,TR-08,08#矿车,2015,9.22,2,222.5,4104.2
2023-02-01,TR-09,09#矿车,2023,7.36,3,220.5,4870.5
2023-02-01,TR-10,10#矿车,2016,8.35,3,229.2,5740.7
2023-02-01,TR-11,11#矿车,2021,8.12,3,227.1,5529.2
2023-02-01,TR-12,12#矿车,2013,6.98,3,227.1,4757.5
2023-02-02,TR-01,01#矿车,2017,8.62,2,219.5,3782.8
2023-02-02,TR-02,02#矿车,2021,8.38,3,217.3,5463.3
